Date,25-34歳.非正規の職員・従業員
2013-02-01,308
2013-03-01,306
2013-04-01,295
2013-05-01,303
2013-06-01,314
2013-07-01,300
2013-08-01,288
2013-09-01,306
2013-10-01,307
2013-11-01,297
2013-12-01,307
2014-01-01,300
2014-02-01,300
2014-03-01,302
2014-04-01,304
2014-05-01,299
2014-06-01,304
2014-07-01,307
2014-08-01,302
2014-09-01,300
2014-10-01,295
2014-11-01,303
2014-12-01,319
2015-01-01,303
2015-02-01,289
2015-03-01,288
2015-04-01,280
2015-05-01,289
2015-06-01,283
2015-07-01,286
