Date,ボンネットバン
2010-01-01,2407
2010-02-01,3546
2010-03-01,5184
2010-04-01,3812
2010-05-01,3693
2010-06-01,4072
2010-07-01,4074
2010-08-01,3369
2010-09-01,3646
2010-10-01,2741
2010-11-01,2811
2010-12-01,2275
2011-01-01,2230
2011-02-01,3364
2011-03-01,4543
2011-04-01,2100
2011-05-01,2225
2011-06-01,3117
2011-07-01,3781
2011-08-01,2445
2011-09-01,2866
2011-10-01,2284
2011-11-01,2159
2011-12-01,1909
2012-01-01,1951
2012-02-01,2371
2012-03-01,3111
2012-04-01,2521
2012-05-01,2928
2012-06-01,2914
2012-07-01,2608
2012-08-01,1872
2012-09-01,2091
2012-10-01,2140
2012-11-01,1775
2012-12-01,1448
2013-01-01,1661
2013-02-01,1941
2013-03-01,2878
2013-04-01,2770
2013-05-01,2457
2013-06-01,2507
2013-07-01,2222
2013-08-01,1700
2013-09-01,2061
2013-10-01,1940
2013-11-01,1705
2013-12-01,1357
2014-01-01,1533
2014-02-01,1989
2014-03-01,2758
2014-04-01,1739
2014-05-01,1833
2014-06-01,2059
2014-07-01,1817
2014-08-01,1445
2014-09-01,2251
2014-10-01,1641
2014-11-01,1534
2014-12-01,2330
2015-01-01,1340
2015-02-01,1742
2015-03-01,2499
2015-04-01,1857
2015-05-01,1526
2015-06-01,1661
2015-07-01,1565
2015-08-01,1179
2015-09-01,1440
