Date,資金循環統計 - 資産・預け金／家計／ストック(兆円)
1997-12-01,14.4081
1998-03-01,14.101
1998-06-01,14.1582
1998-09-01,14.0593
1998-12-01,14.0997
1999-03-01,14.193
1999-06-01,14.2235
1999-09-01,14.1501
1999-12-01,14.1741
2000-03-01,14.2837
2000-06-01,14.3102
2000-09-01,14.2578
2000-12-01,14.287
2001-03-01,13.8403
2001-06-01,13.8657
2001-09-01,13.8278
2001-12-01,13.7834
2002-03-01,12.4771
2002-06-01,12.4895
2002-09-01,12.4589
2002-12-01,12.4711
2003-03-01,12.2941
2003-06-01,12.2925
2003-09-01,12.2713
2003-12-01,12.281
2004-03-01,12.1941
2004-06-01,12.2054
2004-09-01,12.1908
2004-12-01,12.2001
2005-03-01,10.0844
2005-06-01,10.0872
2005-09-01,10.0357
2005-12-01,10.0515
2006-03-01,9.9552
2006-06-01,9.9673
2006-09-01,9.9634
2006-12-01,9.9798
2007-03-01,10.416
2007-06-01,10.512
2007-09-01,10.5172
2007-12-01,10.559
2008-03-01,10.5672
2008-06-01,10.6559
2008-09-01,10.64
2008-12-01,10.5147
2009-03-01,10.4091
2009-06-01,10.4534
2009-09-01,10.4893
2009-12-01,10.5404
2010-03-01,10.6394
2010-06-01,10.6428
2010-09-01,10.7268
2010-12-01,10.7452
2011-03-01,10.9367
2011-06-01,11.1007
2011-09-01,11.04
2011-12-01,11.0478
2012-03-01,10.8984
2012-06-01,10.9404
2012-09-01,10.9677
2012-12-01,10.9686
2013-03-01,11.013
2013-06-01,11.0878
2013-09-01,11.1136
2013-12-01,11.1227
2014-03-01,11.1082
2014-06-01,11.1409
2014-09-01,11.2031
2014-12-01,11.2934
2015-03-01,11.3401
2015-06-01,11.4422
