Date,完全失業者.男女計.季節調整値.万人
2013-02-01,283
2013-03-01,271
2013-04-01,272
2013-05-01,271
2013-06-01,257
2013-07-01,252
2013-08-01,270
2013-09-01,261
2013-10-01,262
2013-11-01,259
2013-12-01,244
2014-01-01,243
2014-02-01,236
2014-03-01,238
2014-04-01,237
2014-05-01,235
2014-06-01,243
2014-07-01,245
2014-08-01,230
2014-09-01,235
2014-10-01,232
2014-11-01,228
2014-12-01,228
2015-01-01,235
2015-02-01,230
2015-03-01,221
2015-04-01,219
2015-05-01,218
2015-06-01,222
2015-07-01,220
