Date,Olive Oil、 extra virgin less than 1% free fatty acid、 ex-tanker price U.K.、 US＄ per metric ton
1980-01-01,2271.72
1980-02-01,2256.48
1980-03-01,2188.11
1980-04-01,2081.17
1980-05-01,2044.54
1980-06-01,2053.29
1980-07-01,2073.16
1980-08-01,2063.71
1980-09-01,2092.63
1980-10-01,2131.47
1980-11-01,2267.24
1980-12-01,2210.02
1981-01-01,2218.43
1981-02-01,2058.95
1981-03-01,2033.04
1981-04-01,1991.44
1981-05-01,1908.1
1981-06-01,1847.88
1981-07-01,1810.64
1981-08-01,1793.33
1981-09-01,1908.12
1981-10-01,1961.42
1981-11-01,1981.61
1981-12-01,1967.39
1982-01-01,1943.31
1982-02-01,1876.79
1982-03-01,1872.15
1982-04-01,1855.74
1982-05-01,1926.29
1982-06-01,1835.88
1982-07-01,1815.52
1982-08-01,1833.8
1982-09-01,1818.29
1982-10-01,1841.25
1982-11-01,1855.08
1982-12-01,1995.19
1983-01-01,1800.11
1983-02-01,1851.85
1983-03-01,1924.12
1983-04-01,1912.01
1983-05-01,1918.76
1983-06-01,1918.09
1983-07-01,1911.52
1983-08-01,1849.76
1983-09-01,1809.15
1983-10-01,1857.73
1983-11-01,1855.4
1983-12-01,1861.21
1984-01-01,2086.83
1984-02-01,1852.2
1984-03-01,1847.49
1984-04-01,1883.23
1984-05-01,1842.19
1984-06-01,1861.14
1984-07-01,1830.83
1984-08-01,1837.12
1984-09-01,1785.74
1984-10-01,1736.47
1984-11-01,1804.73
1984-12-01,1901.11
1985-01-01,1993.15
1985-02-01,1911.46
1985-03-01,1819.32
1985-04-01,1958.12
1985-05-01,1922.8
1985-06-01,1964.67
1985-07-01,2041.84
1985-08-01,2032.16
1985-09-01,1963.39
1985-10-01,1920.11
1985-11-01,1834.31
1985-12-01,1895.09
1986-01-01,1992.73
1986-02-01,2063.94
1986-03-01,2064.27
1986-04-01,2035.26
1986-05-01,2087.5
1986-06-01,2081.23
1986-07-01,2110.17
1986-08-01,2158.13
1986-09-01,2166.07
1986-10-01,2177.59
1986-11-01,2141.54
1986-12-01,2169.95
1987-01-01,2253.02
1987-02-01,2283.06
1987-03-01,2282.37
1987-04-01,2302.59
1987-05-01,2304.42
1987-06-01,2270.51
1987-07-01,2226.43
1987-08-01,2200.45
1987-09-01,2237.08
1987-10-01,2230.38
1987-11-01,2349.7
1987-12-01,2407.49
1988-01-01,2354.44
1988-02-01,2284.66
1988-03-01,2349.83
1988-04-01,2381.62
1988-05-01,2354.63
1988-06-01,2285.43
1988-07-01,2172.18
1988-08-01,2119.9
1988-09-01,2162.39
1988-10-01,2207.66
1988-11-01,2393.68
1988-12-01,2525.53
1989-01-01,2462.14
1989-02-01,2445.33
1989-03-01,2424.27
1989-04-01,2421.48
1989-05-01,2328.63
1989-06-01,2269
1989-07-01,2399.15
1989-08-01,2368.74
1989-09-01,2351.4
1989-10-01,2421.26
1989-11-01,2577.83
1989-12-01,2843.95
1990-01-01,2972.68
1990-02-01,3052.71
1990-03-01,2925.14
1990-04-01,2945.97
1990-05-01,3021.1
1990-06-01,3074.49
1990-07-01,3252.2
1990-08-01,3416.71
1990-09-01,3383.62
1990-10-01,3501.09
1990-11-01,3535.09
1990-12-01,3469
1991-01-01,3480.69
1991-02-01,3538.31
1991-03-01,3295.73
1991-04-01,3149.82
1991-05-01,3107.34
1991-06-01,2965.84
1991-07-01,2966.35
1991-08-01,3030.12
1991-09-01,3102.61
1991-10-01,3100.44
1991-11-01,3199.41
1991-12-01,3281.67
1992-01-01,3261.65
1992-02-01,3198.4
1992-03-01,3104.06
1992-04-01,3161.98
1992-05-01,3259.13
1992-06-01,3335.56
1992-07-01,3454.2
1992-08-01,3490.25
1992-09-01,3342.78
1992-10-01,2986.23
1992-11-01,2747.9
1992-12-01,2793.15
1993-01-01,2757.83
1993-02-01,2587.66
1993-03-01,2628.82
1993-04-01,2783.9
1993-05-01,2787.12
1993-06-01,2721.52
1993-07-01,2694.24
1993-08-01,2685.46
1993-09-01,2743.6
1993-10-01,2706.44
1993-11-01,2665.22
1993-12-01,2681.78
1994-01-01,2686.82
1994-02-01,2661.5
1994-03-01,2683.4
1994-04-01,2668.77
1994-05-01,2705.23
1994-06-01,2744.46
1994-07-01,3553.91
1994-08-01,3548.04
1994-09-01,3596.26
1994-10-01,3694.03
1994-11-01,3656.24
1994-12-01,3587.44
1995-01-01,3622.27
1995-02-01,3772.17
1995-03-01,4161.09
1995-04-01,4503.83
1995-05-01,4446.18
1995-06-01,4465.46
1995-07-01,4624.57
1995-08-01,4591.11
1995-09-01,4749.52
1995-10-01,4973.13
1995-11-01,5082.28
1995-12-01,5002.53
1996-01-01,5509.11
1996-02-01,6067.63
1996-03-01,6032.36
1996-04-01,5909.79
1996-05-01,5906.62
1996-06-01,6014.77
1996-07-01,5903.83
1996-08-01,5811.23
1996-09-01,5925.11
1996-10-01,6023.87
1996-11-01,6235.91
1996-12-01,6241.91
1997-01-01,6225.94
1997-02-01,5202.65
1997-03-01,4815.96
1997-04-01,4235.24
1997-05-01,4246.53
1997-06-01,3452.36
1997-07-01,3760.36
1997-08-01,3607.56
1997-09-01,3839.11
1997-10-01,3914.95
1997-11-01,3881.82
1997-12-01,3655.3
1998-01-01,3475.1
1998-02-01,3164
1998-03-01,3106.16
1998-04-01,3093.11
1998-05-01,3160.63
1998-06-01,3184.11
1998-07-01,3172.03
1998-08-01,3148.39
1998-09-01,3293.41
1998-10-01,3346.8
1998-11-01,3281.72
1998-12-01,3299.12
1999-01-01,3260.92
1999-02-01,3216.03
1999-03-01,3767.08
1999-04-01,3824.25
1999-05-01,3876.88
1999-06-01,3829.73
1999-07-01,3658.97
1999-08-01,3736.3
1999-09-01,3773.36
1999-10-01,3852.53
1999-11-01,3709.49
1999-12-01,3299.71
2000-01-01,3553.8
2000-02-01,3488.13
2000-03-01,3443.88
2000-04-01,3404.09
2000-05-01,3243.64
2000-06-01,2970.88
2000-07-01,2669.99
2000-08-01,2666.9
2000-09-01,2567.81
2000-10-01,2598.36
2000-11-01,2552.18
2000-12-01,2601.72
2001-01-01,2624.08
2001-02-01,2552.27
2001-03-01,2565.32
2001-04-01,2597.95
2001-05-01,2581.68
2001-06-01,2536.49
2001-07-01,2559.12
2001-08-01,2626.91
2001-09-01,2736.64
2001-10-01,2842.81
2001-11-01,2936.19
2001-12-01,2847.84
2002-01-01,2788.69
2002-02-01,2774.94
2002-03-01,2795.62
2002-04-01,2814.34
2002-05-01,2820.98
2002-06-01,2834.26
2002-07-01,2981.64
2002-08-01,2957.09
2002-09-01,3000.22
2002-10-01,2987.84
2002-11-01,3012.77
2002-12-01,3037.73
2003-01-01,3257.01
2003-02-01,3395.19
2003-03-01,3482.4
2003-04-01,3463.6
2003-05-01,3570.42
2003-06-01,3820.14
2003-07-01,3852.84
2003-08-01,3823.97
2003-09-01,4007.75
2003-10-01,4224.25
2003-11-01,4256.21
2003-12-01,4407.41
2004-01-01,4525.8
2004-02-01,4669.09
2004-03-01,4673.58
2004-04-01,4565.24
2004-05-01,4570.7
2004-06-01,4636.37
2004-07-01,4649.91
2004-08-01,4669.55
2004-09-01,4569.18
2004-10-01,4547.86
2004-11-01,4670.36
2004-12-01,4823.58
2005-01-01,5351.37
2005-02-01,5579.55
2005-03-01,5645.16
2005-04-01,5619.99
2005-05-01,5487.49
2005-06-01,5371.33
2005-07-01,5239.17
2005-08-01,5590.13
2005-09-01,5669.46
2005-10-01,5652.39
2005-11-01,5727.45
2005-12-01,5296.38
2006-01-01,5751.19
2006-02-01,5820.51
2006-03-01,5744.85
2006-04-01,5583.08
2006-05-01,5853.98
2006-06-01,5474.81
2006-07-01,5513.21
2006-08-01,5575.76
2006-09-01,5474.18
2006-10-01,5239.93
2006-11-01,5060.34
2006-12-01,4760.48
2007-01-01,4490.58
2007-02-01,4567.09
2007-03-01,4749.46
2007-04-01,4875.67
2007-05-01,4733.69
2007-06-01,4533.84
2007-07-01,4426.95
2007-08-01,4318.67
2007-09-01,4384.62
2007-10-01,4458.76
2007-11-01,4650.51
2007-12-01,4542.47
2008-01-01,4559.2
2008-02-01,4592.3
2008-03-01,4774.31
2008-04-01,4643.6
2008-05-01,4523.49
2008-06-01,4260.21
2008-07-01,4323.35
2008-08-01,4095.05
2008-09-01,3914.53
2008-10-01,3660.85
2008-11-01,3307.33
2008-12-01,3355.21
2009-01-01,3288.71
2009-02-01,3168.83
2009-03-01,3059.75
2009-04-01,3087.67
2009-05-01,3151.85
2009-06-01,3433.52
2009-07-01,3528.36
2009-08-01,3710.67
2009-09-01,3947.33
2009-10-01,3930.53
2009-11-01,3954.23
2009-12-01,3850.54
2010-01-01,3722.44
2010-02-01,3484.17
2010-03-01,3349.5
2010-04-01,3292.57
