Date,生鮮野菜
2013-02-01,95.8
2013-03-01,90.2
2013-04-01,90.7
2013-05-01,87.1
2013-06-01,85.7
2013-07-01,94.1
2013-08-01,92.3
2013-09-01,102.8
2013-10-01,103.3
2013-11-01,103.9
2013-12-01,105.4
2014-01-01,105.8
2014-02-01,100.5
2014-03-01,98.2
2014-04-01,98.5
2014-05-01,97.2
2014-06-01,94.9
2014-07-01,94.7
2014-08-01,97.9
2014-09-01,117.1
2014-10-01,101
2014-11-01,90.6
2014-12-01,95.3
2015-01-01,107.9
2015-02-01,102.3
2015-03-01,102.3
2015-04-01,112.3
2015-05-01,114.8
2015-06-01,107.4
2015-07-01,107.4
