Date,本税-給与所得(兆円)
1984-01-01,8.351165
1985-01-01,8.98814
1986-01-01,9.683175
1987-01-01,9.565066
1988-01-01,9.312187
1989-01-01,9.827689
1990-01-01,11.281937
1991-01-01,12.817878
1992-01-01,13.719038
1993-01-01,14.023243
1994-01-01,12.056141
1995-01-01,11.487067
1996-01-01,11.836771
1997-01-01,13.153888
1998-01-01,10.783223
1999-01-01,10.319434
2000-01-01,10.176191
2001-01-01,10.137116
2002-01-01,9.703525
2003-01-01,9.423929
2004-01-01,9.817204
2005-01-01,10.132835
2006-01-01,11.362529
2007-01-01,9.870157
2008-01-01,9.72733
2009-01-01,8.626931
2010-01-01,8.501306
2011-01-01,9.006411
2012-01-01,8.980062
2013-01-01,9.352973
