Date,本税-計(兆円)
1984-01-01,11.584155
1985-01-01,12.507972
1986-01-01,13.497771
1987-01-01,13.448069
1988-01-01,13.547884
1989-01-01,15.364531
1990-01-01,19.183073
1991-01-01,20.950098
1992-01-01,20.063332
1993-01-01,20.099265
1994-01-01,18.42377
1995-01-01,17.10934
1996-01-01,16.306114
1997-01-01,17.162627
1998-01-01,14.433851
1999-01-01,14.292793
2000-01-01,16.473344
2001-01-01,17.084029
2002-01-01,14.084444
2003-01-01,13.060942
2004-01-01,13.539752
2005-01-01,15.310944
2006-01-01,16.427267
2007-01-01,15.018081
2008-01-01,14.432008
2009-01-01,12.592639
2010-01-01,12.403245
2011-01-01,12.847745
2012-01-01,12.943014
2013-01-01,14.626023
