Date,D.I.／業況／全規模／全産業／実績
1974-06-01,8
1974-09-01,-15
1974-12-01,-30
1975-03-01,-47
1975-06-01,-47
1975-09-01,-42
1975-12-01,-35
1976-03-01,-32
1976-06-01,-13
1976-09-01,-5
1976-12-01,-5
1977-03-01,-14
1977-06-01,-14
1977-09-01,-18
1977-12-01,-19
1978-03-01,-19
1978-06-01,-6
1978-09-01,2
1978-12-01,5
1979-03-01,9
1979-06-01,20
1979-09-01,22
1979-12-01,20
1980-03-01,16
1980-06-01,19
1980-09-01,7
1980-12-01,-1
1981-03-01,-9
1981-06-01,-11
1981-09-01,-11
1981-12-01,-9
1982-03-01,-12
1982-06-01,-15
1982-09-01,-20
1982-12-01,-25
1983-03-01,-29
1983-06-01,-19
1983-09-01,-17
1983-12-01,-12
1984-03-01,-7
1984-06-01,1
1984-09-01,3
1984-12-01,4
1985-03-01,2
1985-06-01,2
1985-09-01,0
1985-12-01,-5
1986-03-01,-11
1986-06-01,-14
1986-09-01,-16
1986-12-01,-17
1987-03-01,-17
1987-06-01,-13
1987-09-01,-4
1987-12-01,10
1988-03-01,17
1988-06-01,29
1988-09-01,31
1988-12-01,33
1989-03-01,35
1989-06-01,41
1989-09-01,39
1989-12-01,38
1990-03-01,37
1990-06-01,36
1990-09-01,37
1990-12-01,34
1991-03-01,31
1991-06-01,29
1991-09-01,24
1991-12-01,12
1992-03-01,1
1992-06-01,-9
1992-09-01,-17
1992-12-01,-26
1993-03-01,-34
1993-06-01,-30
1993-09-01,-34
1993-12-01,-36
1994-03-01,-36
1994-06-01,-27
1994-09-01,-22
1994-12-01,-18
1995-03-01,-17
1995-06-01,-15
1995-09-01,-21
1995-12-01,-19
1996-03-01,-15
1996-06-01,-8
1996-09-01,-9
1996-12-01,-7
1997-03-01,-4
1997-06-01,-6
1997-09-01,-14
1997-12-01,-22
1998-03-01,-35
1998-06-01,-42
1998-09-01,-48
1998-12-01,-49
1999-03-01,-44
1999-06-01,-37
1999-09-01,-32
1999-12-01,-26
2000-03-01,-23
2000-06-01,-18
2000-09-01,-15
2000-12-01,-14
2001-03-01,-22
2001-06-01,-27
2001-09-01,-36
2001-12-01,-40
2002-03-01,-41
2002-06-01,-32
2002-09-01,-30
2002-12-01,-28
2003-03-01,-26
2003-06-01,-26
2003-09-01,-21
2003-12-01,-15
2004-03-01,-5
2004-06-01,0
2004-09-01,2
2004-12-01,1
2005-03-01,-2
2005-06-01,1
2005-09-01,2
2005-12-01,5
2006-03-01,5
2006-06-01,6
2006-09-01,6
2006-12-01,8
2007-03-01,8
2007-06-01,7
2007-09-01,4
2007-12-01,2
2008-03-01,-4
2008-06-01,-7
2008-09-01,-14
2008-12-01,-24
2009-03-01,-46
2009-06-01,-45
2009-09-01,-38
2009-12-01,-32
2010-03-01,-24
2010-06-01,-15
2010-09-01,-10
2010-12-01,-11
2011-03-01,-9
2011-06-01,-18
2011-09-01,-9
2011-12-01,-7
2012-03-01,-6
2012-06-01,-4
2012-09-01,-6
2012-12-01,-9
2013-03-01,-8
2013-06-01,-2
2013-09-01,2
2013-12-01,8
2014-03-01,12
2014-06-01,7
2014-09-01,4
2014-12-01,5
2015-03-01,7
2015-06-01,7
2015-09-01,8
