Date,Weekly U.S. Refiner Net Input of Crude Oil  (Thousand Barrels per Day)
2015-02-06,15564
2015-02-13,15442
2015-02-20,15243
2015-02-27,15113
2015-03-06,15300
2015-03-13,15436
2015-03-20,15530
2015-03-27,15728
2015-04-03,15929
2015-04-10,16212
2015-04-17,15982
2015-04-24,16100
2015-05-01,16347
2015-05-08,15968
2015-05-15,16213
2015-05-22,16450
2015-05-29,16407
2015-06-05,16576
2015-06-12,16282
2015-06-19,16532
2015-06-26,16531
2015-07-03,16596
2015-07-10,16825
2015-07-17,16870
2015-07-24,16762
2015-07-31,17075
2015-08-07,17029
2015-08-14,16775
2015-08-21,16658
2015-08-28,16389
