Date,教養娯楽用耐久財
2013-02-01,60.3
2013-03-01,63.8
2013-04-01,63.5
2013-05-01,63.9
2013-06-01,63.8
2013-07-01,63.4
2013-08-01,62.3
2013-09-01,62.5
2013-10-01,61.9
2013-11-01,62.9
2013-12-01,62.4
2014-01-01,62.2
2014-02-01,64.1
2014-03-01,63.9
2014-04-01,65.5
2014-05-01,65.8
2014-06-01,68.8
2014-07-01,69.2
2014-08-01,66.4
2014-09-01,67
2014-10-01,66.4
2014-11-01,65.4
2014-12-01,63.4
2015-01-01,62.2
2015-02-01,63.1
2015-03-01,63.1
2015-04-01,63.2
2015-05-01,64.7
2015-06-01,69.1
2015-07-01,70.5
