Date,非労働力人口 男女計 季節調整値
1953-01-01,1566
1953-02-01,1668
1953-03-01,1670
1953-04-01,1727
1953-05-01,1785
1953-06-01,1768
1953-07-01,1756
1953-08-01,1752
1953-09-01,1743
1953-10-01,1717
1953-11-01,1721
1953-12-01,1730
1954-01-01,1774
1954-02-01,1753
1954-03-01,1746
1954-04-01,1751
1954-05-01,1722
1954-06-01,1768
1954-07-01,1725
1954-08-01,1733
1954-09-01,1747
1954-10-01,1732
1954-11-01,1758
1954-12-01,1772
1955-01-01,1798
1955-02-01,1741
1955-03-01,1745
1955-04-01,1722
1955-05-01,1693
1955-06-01,1701
1955-07-01,1721
1955-08-01,1720
1955-09-01,1687
1955-10-01,1694
1955-11-01,1696
1955-12-01,1711
1956-01-01,1735
1956-02-01,1765
1956-03-01,1765
1956-04-01,1748
1956-05-01,1754
1956-06-01,1736
1956-07-01,1775
1956-08-01,1790
1956-09-01,1807
1956-10-01,1820
1956-11-01,1813
1956-12-01,1791
1957-01-01,1748
1957-02-01,1757
1957-03-01,1784
1957-04-01,1800
1957-05-01,1866
1957-06-01,1850
1957-07-01,1816
1957-08-01,1797
1957-09-01,1820
1957-10-01,1814
1957-11-01,1802
1957-12-01,1821
1958-01-01,1844
1958-02-01,1862
1958-03-01,1866
1958-04-01,1919
1958-05-01,1881
1958-06-01,1873
1958-07-01,1920
1958-08-01,1923
1958-09-01,1931
1958-10-01,1934
1958-11-01,1938
1958-12-01,1920
1959-01-01,1932
1959-02-01,1967
1959-03-01,1962
1959-04-01,1955
1959-05-01,1951
1959-06-01,1966
1959-07-01,1988
1959-08-01,1992
1959-09-01,2017
1959-10-01,1995
1959-11-01,2007
1959-12-01,2058
1960-01-01,2033
1960-02-01,1989
1960-03-01,2011
1960-04-01,2001
1960-05-01,2002
1960-06-01,2007
1960-07-01,1983
1960-08-01,1988
1960-09-01,1954
1960-10-01,1987
1960-11-01,2009
1960-12-01,1998
1961-01-01,1982
1961-02-01,2003
1961-03-01,2005
1961-04-01,2007
1961-05-01,2029
1961-06-01,2071
1961-07-01,2035
1961-08-01,2065
1961-09-01,2044
1961-10-01,2057
1961-11-01,2040
1961-12-01,2057
1962-01-01,2070
1962-02-01,2087
1962-03-01,2120
1962-04-01,2110
1962-05-01,2122
1962-06-01,2120
1962-07-01,2156
1962-08-01,2134
1962-09-01,2161
1962-10-01,2185
1962-11-01,2198
1962-12-01,2188
1963-01-01,2297
1963-02-01,2240
1963-03-01,2221
1963-04-01,2256
1963-05-01,2271
1963-06-01,2286
1963-07-01,2288
1963-08-01,2284
1963-09-01,2291
1963-10-01,2301
1963-11-01,2315
1963-12-01,2321
1964-01-01,2305
1964-02-01,2367
1964-03-01,2370
1964-04-01,2374
1964-05-01,2386
1964-06-01,2419
1964-07-01,2424
1964-08-01,2437
1964-09-01,2446
1964-10-01,2432
1964-11-01,2455
1964-12-01,2472
1965-01-01,2444
1965-02-01,2458
1965-03-01,2489
1965-04-01,2491
1965-05-01,2518
1965-06-01,2502
1965-07-01,2517
1965-08-01,2500
1965-09-01,2489
1965-10-01,2506
1965-11-01,2518
1965-12-01,2516
1966-01-01,2499
1966-02-01,2492
1966-03-01,2516
1966-04-01,2528
1966-05-01,2536
1966-06-01,2538
1966-07-01,2535
1966-08-01,2550
1966-09-01,2563
1966-10-01,2537
1966-11-01,2571
1966-12-01,2568
1967-01-01,2584
1967-02-01,2574
1967-03-01,2539
1967-04-01,2572
1967-05-01,2544
1967-06-01,2517
1967-07-01,2534
1967-08-01,2581
1967-09-01,2598
1967-10-01,2622
1967-11-01,2569
1967-12-01,2587
1968-01-01,2580
1968-02-01,2617
1968-03-01,2616
1968-04-01,2594
1968-05-01,2597
1968-06-01,2611
1968-07-01,2620
1968-08-01,2589
1968-09-01,2610
1968-10-01,2609
1968-11-01,2605
1968-12-01,2635
1969-01-01,2654
1969-02-01,2659
1969-03-01,2675
1969-04-01,2661
1969-05-01,2660
1969-06-01,2677
1969-07-01,2688
1969-08-01,2673
1969-09-01,2650
1969-10-01,2678
1969-11-01,2703
1969-12-01,2700
1970-01-01,2707
1970-02-01,2708
1970-03-01,2714
1970-04-01,2703
1970-05-01,2724
1970-06-01,2724
1970-07-01,2702
1970-08-01,2727
1970-09-01,2710
1970-10-01,2737
1970-11-01,2765
1970-12-01,2741
1971-01-01,2746
1971-02-01,2755
1971-03-01,2724
1971-04-01,2758
1971-05-01,2772
1971-06-01,2781
1971-07-01,2783
1971-08-01,2786
1971-09-01,2824
1971-10-01,2830
1971-11-01,2798
1971-12-01,2812
1972-01-01,2812
1972-02-01,2830
1972-03-01,2853
1972-04-01,2860
1972-05-01,2860
1972-06-01,2883
1972-07-01,2889
1972-08-01,2879
1972-09-01,2890
1972-10-01,2894
1972-11-01,2905
1972-12-01,2866
1973-01-01,2843
1973-02-01,2844
1973-03-01,2890
1973-04-01,2909
1973-05-01,2931
1973-06-01,2897
1973-07-01,2890
1973-08-01,2922
1973-09-01,2904
1973-10-01,2849
1973-11-01,2880
1973-12-01,2962
1974-01-01,2971
1974-02-01,2966
1974-03-01,2970
1974-04-01,2967
1974-05-01,2989
1974-06-01,3011
1974-07-01,3043
1974-08-01,3027
1974-09-01,3024
1974-10-01,3029
1974-11-01,3043
1974-12-01,3057
1975-01-01,3083
1975-02-01,3088
1975-03-01,3092
1975-04-01,3113
