Date,55-64歳.非正規の職員・従業員
2013-02-01,427
2013-03-01,424
2013-04-01,410
2013-05-01,408
2013-06-01,412
2013-07-01,415
2013-08-01,421
2013-09-01,422
2013-10-01,429
2013-11-01,417
2013-12-01,417
2014-01-01,425
2014-02-01,440
2014-03-01,427
2014-04-01,407
2014-05-01,417
2014-06-01,419
2014-07-01,416
2014-08-01,417
2014-09-01,429
2014-10-01,426
2014-11-01,419
2014-12-01,410
2015-01-01,419
2015-02-01,423
2015-03-01,411
2015-04-01,405
2015-05-01,400
2015-06-01,413
2015-07-01,416
