Date,光熱・水道
2013-02-01,108.7
2013-03-01,108.7
2013-04-01,109.3
2013-05-01,111.7
2013-06-01,112.8
2013-07-01,113.6
2013-08-01,114.2
2013-09-01,115.1
2013-10-01,115.2
2013-11-01,114.9
2013-12-01,114.6
2014-01-01,114.7
2014-02-01,114.9
2014-03-01,115.5
2014-04-01,116.8
2014-05-01,121.7
2014-06-01,121.9
2014-07-01,121.8
2014-08-01,121.5
2014-09-01,121.2
2014-10-01,120.8
2014-11-01,120.5
2014-12-01,120.1
2015-01-01,119.2
2015-02-01,118.9
2015-03-01,119.7
2015-04-01,119.4
2015-05-01,119.6
2015-06-01,118.1
2015-07-01,116
