Date,民間 兆円
2011-04-01,1.905348512
2011-05-01,1.909405521
2011-06-01,1.967764809
2011-07-01,2.069689089
2011-08-01,2.22516102
2011-09-01,2.294354329
2011-10-01,2.298935646
2011-11-01,2.270238196
2011-12-01,2.27339641
2012-01-01,2.191077157
2012-02-01,2.170320401
2012-03-01,2.139033969
2012-04-01,1.922564211
2012-05-01,1.949139065
2012-06-01,2.015091769
2012-07-01,2.083766997
2012-08-01,2.166757048
2012-09-01,2.288479369
2012-10-01,2.260679534
2012-11-01,2.305508429
2012-12-01,2.33970636
2013-01-01,2.264368192
2013-02-01,2.256621488
2013-03-01,2.239154506
2013-04-01,2.037498682
2013-05-01,2.122581754
2013-06-01,2.246793425
2013-07-01,2.323838711
2013-08-01,2.414072617
2013-09-01,2.508033978
2013-10-01,2.551973355
2013-11-01,2.608256151
2013-12-01,2.660355309
2014-01-01,2.560675927
2014-02-01,2.483256368
2014-03-01,2.427242072
2014-04-01,2.133743893
2014-05-01,2.134103404
2014-06-01,2.223615259
2014-07-01,2.252682652
2014-08-01,2.327212731
2014-09-01,2.399897304
2014-10-01,2.42384501
2014-11-01,2.467256621
2014-12-01,2.490356827
2015-01-01,2.422927734
2015-02-01,2.382878371
2015-03-01,2.37934104
2015-04-01,2.186308607
2015-05-01,2.165488686
2015-06-01,2.272631306
2015-07-01,2.383660525
2015-08-01,2.47853211
2015-09-01,2.537112085
2015-10-01,2.575024715
2015-11-01,2.579520461
