Date,出生数(人)
1983-01-01,1508690
1984-01-01,1489780
1985-01-01,1431580
1986-01-01,1382950
1987-01-01,1346660
1988-01-01,1314010
1989-01-01,1246800
1990-01-01,1221590
1991-01-01,1223250
1992-01-01,1208990
1993-01-01,1188280
1994-01-01,1238330
1995-01-01,1187060
1996-01-01,1206560
1997-01-01,1191670
1998-01-01,1203150
1999-01-01,1177670
2000-01-01,1190550
2001-01-01,1170660
2002-01-01,1153860
2003-01-01,1123830
2004-01-01,1110720
2005-01-01,1062530
2006-01-01,1092670
2007-01-01,1089810
2008-01-01,1091150
2009-01-01,1070040
2010-01-01,1071300
2011-01-01,1050810
2012-01-01,1037100
