Date,耐久消費財出荷指数
1975-01-01,30.6
1975-02-01,31
1975-03-01,30.5
1975-04-01,30.9
1975-05-01,31.4
1975-06-01,30.8
1975-07-01,30.9
1975-08-01,32
1975-09-01,32.9
1975-10-01,33.2
1975-11-01,33.1
1975-12-01,33.2
1976-01-01,34
1976-02-01,35.9
1976-03-01,37.7
1976-04-01,37.5
1976-05-01,37.6
1976-06-01,38.1
1976-07-01,38.9
1976-08-01,38.3
1976-09-01,38.1
1976-10-01,38.5
1976-11-01,39.7
1976-12-01,40.3
1977-01-01,41.3
1977-02-01,40.7
1977-03-01,41.8
1977-04-01,41.1
1977-05-01,40.6
1977-06-01,41.3
1977-07-01,41.2
1977-08-01,41.9
1977-09-01,43.2
1977-10-01,42.5
1977-11-01,43.5
1977-12-01,44.9
1978-01-01,45.3
1978-02-01,43.6
1978-03-01,46.9
1978-04-01,44.6
1978-05-01,45.8
1978-06-01,46.2
1978-07-01,47.2
1978-08-01,47.8
1978-09-01,48.2
1978-10-01,47.1
1978-11-01,47.8
1978-12-01,47.4
1979-01-01,47.1
1979-02-01,47.5
1979-03-01,48.4
1979-04-01,48.6
1979-05-01,50.2
1979-06-01,52.6
1979-07-01,51.8
1979-08-01,52.4
1979-09-01,52.6
1979-10-01,54.4
1979-11-01,53.9
1979-12-01,55.7
1980-01-01,56
1980-02-01,58.4
1980-03-01,57.4
1980-04-01,59.8
1980-05-01,59.2
1980-06-01,59.7
1980-07-01,58.5
1980-08-01,57.4
1980-09-01,59.5
1980-10-01,61
1980-11-01,60.3
1980-12-01,62.1
1981-01-01,65.6
1981-02-01,62.9
1981-03-01,63.7
1981-04-01,64
1981-05-01,60.7
1981-06-01,61.2
1981-07-01,63.1
1981-08-01,63.4
1981-09-01,64.4
1981-10-01,64.6
1981-11-01,66.2
1981-12-01,64.7
1982-01-01,64.7
1982-02-01,63.1
1982-03-01,64.9
1982-04-01,62.9
1982-05-01,63.2
1982-06-01,61.9
1982-07-01,64.1
1982-08-01,63.7
1982-09-01,66
1982-10-01,64.6
1982-11-01,65.9
1982-12-01,64.4
1983-01-01,66.2
1983-02-01,66.2
1983-03-01,67.5
1983-04-01,64.4
1983-05-01,64.9
1983-06-01,65.9
1983-07-01,66
1983-08-01,67.5
1983-09-01,67.2
1983-10-01,66.8
1983-11-01,67.5
1983-12-01,68.5
1984-01-01,67.5
1984-02-01,69.6
1984-03-01,68.5
1984-04-01,69.1
1984-05-01,71.4
1984-06-01,70.3
1984-07-01,71.8
1984-08-01,71.4
1984-09-01,69.5
1984-10-01,71.2
1984-11-01,74
1984-12-01,72
1985-01-01,74.5
1985-02-01,73.4
1985-03-01,74.6
1985-04-01,77.8
1985-05-01,75.7
1985-06-01,75.6
1985-07-01,78.5
1985-08-01,79.7
1985-09-01,80.1
1985-10-01,82.1
1985-11-01,82.3
1985-12-01,82.2
1986-01-01,80.9
1986-02-01,80.9
1986-03-01,79.3
1986-04-01,81.9
1986-05-01,81.7
1986-06-01,81.5
1986-07-01,80.4
1986-08-01,79
1986-09-01,80.2
1986-10-01,80.1
1986-11-01,76.3
1986-12-01,77.3
1987-01-01,78.5
1987-02-01,79.1
1987-03-01,80.2
1987-04-01,77
1987-05-01,78.4
1987-06-01,79.8
1987-07-01,80.4
1987-08-01,80.3
1987-09-01,81.6
1987-10-01,82.1
1987-11-01,81.4
1987-12-01,82.8
1988-01-01,82.1
1988-02-01,84.8
1988-03-01,81.3
1988-04-01,86.8
1988-05-01,84
1988-06-01,83.4
1988-07-01,85.4
1988-08-01,80.9
1988-09-01,86.3
1988-10-01,86.2
1988-11-01,89.9
1988-12-01,87.1
1989-01-01,86.4
1989-02-01,84.2
1989-03-01,87.8
1989-04-01,94
1989-05-01,90.8
1989-06-01,92
1989-07-01,87.5
1989-08-01,90.2
1989-09-01,90.8
1989-10-01,90.2
1989-11-01,91.4
1989-12-01,91.3
1990-01-01,92.5
1990-02-01,92.2
1990-03-01,97.5
1990-04-01,92.5
1990-05-01,97.2
1990-06-01,98.6
1990-07-01,97.3
1990-08-01,99.8
1990-09-01,94.9
1990-10-01,100.7
1990-11-01,97.8
1990-12-01,99.8
1991-01-01,98.3
1991-02-01,98.5
1991-03-01,96
1991-04-01,97.7
1991-05-01,97.8
1991-06-01,94.6
1991-07-01,99.6
1991-08-01,99.6
1991-09-01,99.3
1991-10-01,98.4
1991-11-01,99.5
1991-12-01,96.5
1992-01-01,98.5
1992-02-01,97.9
1992-03-01,96.5
1992-04-01,93.9
1992-05-01,91.4
1992-06-01,92.1
1992-07-01,91
1992-08-01,87.6
1992-09-01,95
1992-10-01,87.5
1992-11-01,87.3
1992-12-01,87.7
1993-01-01,94.8
1993-02-01,90.7
1993-03-01,88.9
1993-04-01,89.2
1993-05-01,90.8
1993-06-01,87.4
1993-07-01,85.8
1993-08-01,89.2
1993-09-01,91.4
1993-10-01,85.4
1993-11-01,82.2
1993-12-01,81.8
1994-01-01,80.9
1994-02-01,84.1
1994-03-01,85.1
1994-04-01,83.4
1994-05-01,82.4
1994-06-01,84.5
1994-07-01,87.5
1994-08-01,84
1994-09-01,84.6
1994-10-01,86.3
1994-11-01,87.7
1994-12-01,86.8
1995-01-01,77.9
1995-02-01,84.7
1995-03-01,85.1
1995-04-01,87.7
1995-05-01,83.3
1995-06-01,84.2
1995-07-01,80.3
1995-08-01,83.9
1995-09-01,81.1
1995-10-01,80.5
1995-11-01,82.4
1995-12-01,83.3
1996-01-01,77.7
1996-02-01,84.5
1996-03-01,82.6
1996-04-01,83.9
1996-05-01,84.4
1996-06-01,84.6
1996-07-01,87
1996-08-01,85.2
1996-09-01,88.6
1996-10-01,89.8
1996-11-01,91.6
1996-12-01,91.9
1997-01-01,97
1997-02-01,91.8
1997-03-01,93.8
1997-04-01,94.6
1997-05-01,94.9
1997-06-01,95.5
1997-07-01,94.9
1997-08-01,93.9
1997-09-01,94
1997-10-01,92.5
1997-11-01,88.9
1997-12-01,90.9
1998-01-01,91.6
1998-02-01,89.8
1998-03-01,86.3
1998-04-01,88.1
1998-05-01,87.8
1998-06-01,87.5
1998-07-01,90.3
1998-08-01,87
1998-09-01,88.3
1998-10-01,89.2
1998-11-01,89.2
1998-12-01,90.1
1999-01-01,92.1
1999-02-01,89.1
1999-03-01,90.1
1999-04-01,87.8
1999-05-01,91.4
1999-06-01,89
1999-07-01,89.1
1999-08-01,90.6
1999-09-01,91.9
1999-10-01,92.2
1999-11-01,93.5
1999-12-01,92.6
2000-01-01,91.4
2000-02-01,93
2000-03-01,93.5
2000-04-01,98.2
2000-05-01,95.6
2000-06-01,98
2000-07-01,96
2000-08-01,97.4
2000-09-01,95.6
2000-10-01,96.2
2000-11-01,96.1
2000-12-01,99.2
2001-01-01,92.5
2001-02-01,96.2
2001-03-01,96.7
2001-04-01,95.4
2001-05-01,93.8
2001-06-01,94.4
2001-07-01,94.5
2001-08-01,95
2001-09-01,91.7
2001-10-01,94
2001-11-01,89
2001-12-01,87.4
2002-01-01,90.1
2002-02-01,92.3
2002-03-01,91.3
2002-04-01,91.6
2002-05-01,97
2002-06-01,93.4
2002-07-01,93.8
2002-08-01,95.6
2002-09-01,97.1
2002-10-01,96.4
2002-11-01,101
2002-12-01,96.7
2003-01-01,97.2
2003-02-01,96.1
2003-03-01,94
2003-04-01,96.5
2003-05-01,96.1
2003-06-01,96.2
2003-07-01,95.5
2003-08-01,96.1
2003-09-01,99
2003-10-01,99.7
2003-11-01,98.4
2003-12-01,100.1
2004-01-01,100.6
2004-02-01,99.1
2004-03-01,99
2004-04-01,98.6
2004-05-01,100.1
2004-06-01,99.7
2004-07-01,104.8
2004-08-01,97.3
2004-09-01,100
2004-10-01,100.6
2004-11-01,102.3
2004-12-01,99.3
2005-01-01,99.1
2005-02-01,100.9
2005-03-01,101.2
2005-04-01,106.7
2005-05-01,100.4
2005-06-01,102.7
2005-07-01,102.7
2005-08-01,101.2
2005-09-01,104.4
2005-10-01,104.5
2005-11-01,103.8
2005-12-01,106.7
2006-01-01,108.3
2006-02-01,107.9
2006-03-01,110.5
2006-04-01,115
2006-05-01,111.3
2006-06-01,109.9
2006-07-01,111.4
2006-08-01,112.3
2006-09-01,111.6
2006-10-01,111.3
2006-11-01,115.2
2006-12-01,113.8
2007-01-01,114
2007-02-01,114.1
2007-03-01,113.5
2007-04-01,113.7
2007-05-01,115.2
2007-06-01,117.6
2007-07-01,110
2007-08-01,125.1
2007-09-01,118.9
2007-10-01,121.5
2007-11-01,121.1
2007-12-01,123.8
2008-01-01,125.4
2008-02-01,123.4
2008-03-01,122.9
2008-04-01,123.5
2008-05-01,120.9
2008-06-01,114.4
2008-07-01,113.8
2008-08-01,108.8
2008-09-01,107.9
2008-10-01,103.3
2008-11-01,96.5
2008-12-01,86.9
2009-01-01,72.1
2009-02-01,69.6
2009-03-01,70.2
2009-04-01,70.4
2009-05-01,78.8
2009-06-01,82
2009-07-01,80.8
2009-08-01,82.2
2009-09-01,87.3
2009-10-01,91.8
2009-11-01,95.9
2009-12-01,96.4
2010-01-01,100.4
2010-02-01,102.8
2010-03-01,104.3
2010-04-01,102.6
2010-05-01,97.6
2010-06-01,97.1
2010-07-01,95.7
2010-08-01,98.8
2010-09-01,100.7
2010-10-01,97.7
2010-11-01,100.6
2010-12-01,100.8
2011-01-01,97.8
2011-02-01,100.9
2011-03-01,72.2
2011-04-01,55.7
2011-05-01,68.4
2011-06-01,89.8
2011-07-01,92.8
2011-08-01,93.8
2011-09-01,95.1
2011-10-01,99.9
2011-11-01,90.7
2011-12-01,102
2012-01-01,105.8
2012-02-01,107.7
2012-03-01,102.1
2012-04-01,99.6
2012-05-01,94.8
2012-06-01,89.6
2012-07-01,89.4
2012-08-01,89.9
2012-09-01,82.8
2012-10-01,81.4
2012-11-01,78.8
2012-12-01,84.7
2013-01-01,89.7
2013-02-01,89.7
2013-03-01,86.9
2013-04-01,88.6
2013-05-01,84.9
2013-06-01,85.2
2013-07-01,84.4
2013-08-01,86.4
2013-09-01,89.3
2013-10-01,91.1
2013-11-01,91
2013-12-01,90.8
2014-01-01,95
2014-02-01,90.9
2014-03-01,90.4
2014-04-01,90.4
2014-05-01,86.9
2014-06-01,85.1
2014-07-01,83.3
2014-08-01,81.2
2014-09-01,84
2014-10-01,81.2
2014-11-01,79.6
2014-12-01,81.6
2015-01-01,85.9
2015-02-01,82.9
2015-03-01,86.8
2015-04-01,80.7
2015-05-01,75.9
2015-06-01,80.8
2015-07-01,81.8
2015-08-01,80.8
