Date,Weekly U.S. Percent Utilization of Refinery Operable Capacity (Percent)
2015-02-06,90
2015-02-13,88.7
2015-02-20,87.4
2015-02-27,86.6
2015-03-06,87.8
2015-03-13,88.1
2015-03-20,89
2015-03-27,89.4
2015-04-03,90.1
2015-04-10,92.3
2015-04-17,91.2
2015-04-24,91.3
2015-05-01,93
2015-05-08,91.2
2015-05-15,92.4
2015-05-22,93.6
2015-05-29,93.2
2015-06-05,94.6
2015-06-12,93.1
2015-06-19,94
2015-06-26,95
2015-07-03,94.7
2015-07-10,95.3
2015-07-17,95.5
2015-07-24,95.1
2015-07-31,96.1
2015-08-07,96.1
2015-08-14,95.1
2015-08-21,94.5
2015-08-28,92.8
