Date,販売価格見通し／１年後／企業の物価見通しの平均／全規模／製造業
2014-03-01,0.8
2014-06-01,0.8
2014-09-01,0.7
2014-12-01,0.8
2015-03-01,0.7
2015-06-01,0.6
2015-09-01,0.4
