Date,印刷・同関連業
2008-03-01,173283
2008-06-01,104133
2008-09-01,102311
2008-12-01,76637
2009-03-01,94277
2009-06-01,78945
2009-09-01,80699
2009-12-01,54042
2010-03-01,85587
2010-06-01,59645
2010-09-01,81508
2010-12-01,62202
2011-03-01,91628
2011-06-01,58947
2011-09-01,62102
2011-12-01,61421
2012-03-01,58541
2012-06-01,75258
2012-09-01,79686
2012-12-01,57408
2013-03-01,130149
2013-06-01,129037
2013-09-01,111269
2013-12-01,61959
2014-03-01,149636
2014-06-01,63458
2014-09-01,105371
2014-12-01,64363
2015-03-01,98464
2015-06-01,66769
