Date,本税-配当所得(兆円)
1984-01-01,0.608213
1985-01-01,0.628803
1986-01-01,0.688689
1987-01-01,0.825332
1988-01-01,0.911373
1989-01-01,1.129375
1990-01-01,1.108886
1991-01-01,0.979842
1992-01-01,0.935219
1993-01-01,0.879429
1994-01-01,0.815206
1995-01-01,0.773382
1996-01-01,0.860266
1997-01-01,0.848165
1998-01-01,0.848072
1999-01-01,0.917115
2000-01-01,1.0188
2001-01-01,0.942989
2002-01-01,1.053721
2003-01-01,1.001784
2004-01-01,1.167203
2005-01-01,2.406981
2006-01-01,2.348728
2007-01-01,2.445815
2008-01-01,2.044204
2009-01-01,1.584196
2010-01-01,1.64105
2011-01-01,1.670059
2012-01-01,1.827282
2013-01-01,2.576926
