date,GBP.USD.correlation
2015-04-02,-0.685531895158884
2015-04-03,-0.644263813838568
2015-04-04,-0.585758650389961
2015-04-05,-0.485031660262794
2015-04-06,-0.363531263868374
2015-04-07,-0.254951289473619
2015-04-08,-0.166061534578491
2015-04-09,-0.0252011803869898
2015-04-10,0.105576600327554
2015-04-11,0.0958899235902771
2015-04-12,-0.00860537017525111
2015-04-13,-0.15715046142078
2015-04-14,-0.327876882399099
2015-04-15,-0.454049762334738
2015-04-16,-0.515709250981767
2015-04-17,-0.5107382533322
2015-04-18,-0.479916257862656
2015-04-19,-0.386194524453753
2015-04-20,-0.327554609694969
2015-04-21,-0.214586914392966
2015-04-22,-0.120455377362697
2015-04-23,0.0114032603638491
2015-04-24,0.146358002752399
2015-04-25,0.273102014067572
2015-04-26,0.398091638831838
2015-04-27,0.488587066683424
2015-04-28,0.56702053966753
2015-04-29,0.640721449468862
2015-04-30,0.692602965197921
2015-05-01,0.730327273640697
