Date,非労働力人口.男女計.季節調整値.万人
2013-02-01,4507
2013-03-01,4519
2013-04-01,4509
2013-05-01,4513
2013-06-01,4524
2013-07-01,4523
2013-08-01,4508
2013-09-01,4504
2013-10-01,4488
2013-11-01,4470
2013-12-01,4495
2014-01-01,4511
2014-02-01,4505
2014-03-01,4493
2014-04-01,4507
2014-05-01,4488
2014-06-01,4477
2014-07-01,4478
2014-08-01,4486
2014-09-01,4478
2014-10-01,4485
2014-11-01,4494
2014-12-01,4467
2015-01-01,4463
2015-02-01,4467
2015-03-01,4484
2015-04-01,4519
2015-05-01,4497
2015-06-01,4462
2015-07-01,4470
