date,NZD.USD.correlation
2015-03-17,-0.724820907328047
2015-03-18,-0.77460081665355
2015-03-19,-0.802672613571642
2015-03-20,-0.780108642279321
2015-03-21,-0.725923086713857
2015-03-22,-0.597131593972274
2015-03-23,-0.474922653336941
2015-03-24,-0.331843254683845
2015-03-25,-0.174761905727441
2015-03-26,-0.0468791846508198
2015-03-27,0.0285710088682989
2015-03-28,0.11629170361123
2015-03-29,0.213699440863142
2015-03-30,0.303611861815521
2015-03-31,0.382761706921705
2015-04-01,0.444219640707539
2015-04-02,0.474451631774406
2015-04-03,0.522886111315397
2015-04-04,0.626235435517615
2015-04-05,0.717565052528651
2015-04-06,0.760184628609981
2015-04-07,0.764597662390131
2015-04-08,0.741318976131421
2015-04-09,0.723883455216974
2015-04-10,0.690757686536609
2015-04-11,0.641845499125872
2015-04-12,0.589908936641955
2015-04-13,0.528773902403378
2015-04-14,0.406578422615856
2015-04-15,0.274685122002544
