Date,本税-非居住者等所得(百万円)
1984-01-01,118230
1985-01-01,124118
1986-01-01,128806
1987-01-01,135188
1988-01-01,143935
1989-01-01,162728
1990-01-01,200185
1991-01-01,208136
1992-01-01,199904
1993-01-01,191632
1994-01-01,200223
1995-01-01,227038
1996-01-01,266711
1997-01-01,294191
1998-01-01,301198
1999-01-01,302620
2000-01-01,335842
2001-01-01,401261
2002-01-01,391049
2003-01-01,366955
2004-01-01,320910
2005-01-01,291262
2006-01-01,358611
2007-01-01,394846
2008-01-01,360578
2009-01-01,257249
2010-01-01,285492
2011-01-01,284675
2012-01-01,262869
2013-01-01,332231
