Date,対個人サービス業（調査９業種）総合 外国語会話教室
2004-01-01,113
2004-02-01,117.3
2004-03-01,123.4
2004-04-01,109.2
2004-05-01,119.5
2004-06-01,118
2004-07-01,96.5
2004-08-01,105.4
2004-09-01,112.8
2004-10-01,107.4
2004-11-01,83.2
2004-12-01,90.4
2005-01-01,106.5
2005-02-01,102.5
2005-03-01,119.8
2005-04-01,100.4
2005-05-01,101.7
2005-06-01,93.7
2005-07-01,96.8
2005-08-01,98.5
2005-09-01,110.6
2005-10-01,95.9
2005-11-01,74.8
2005-12-01,86.6
2006-01-01,117.7
2006-02-01,153.9
2006-03-01,97.4
2006-04-01,97.6
2006-05-01,92.8
2006-06-01,90
2006-07-01,90.2
2006-08-01,95.6
2006-09-01,104.4
2006-10-01,89.6
2006-11-01,102
2006-12-01,96.4
2007-01-01,89.4
2007-02-01,96.7
2007-03-01,94.9
2007-04-01,63.4
2007-05-01,70.3
2007-06-01,72.4
2007-07-01,70.1
2007-08-01,67.9
2007-09-01,61.4
2007-10-01,63.7
2007-11-01,62.6
2007-12-01,60.4
2008-01-01,63.5
2008-02-01,62.1
2008-03-01,52.6
2008-04-01,60.2
2008-05-01,62.1
2008-06-01,62.8
2008-07-01,62.4
2008-08-01,61.5
2008-09-01,56.5
2008-10-01,62.5
2008-11-01,60.1
2008-12-01,60.9
2009-01-01,63.3
2009-02-01,57.6
2009-03-01,47.1
2009-04-01,56.7
2009-05-01,55.9
2009-06-01,57.6
2009-07-01,55.7
2009-08-01,54.8
2009-09-01,52
2009-10-01,55.5
2009-11-01,55.5
2009-12-01,55.1
2010-01-01,58.6
2010-02-01,53.5
2010-03-01,46.6
2010-04-01,52.3
2010-05-01,53
2010-06-01,50.9
2010-07-01,51.3
2010-08-01,51.5
2010-09-01,51.1
2010-10-01,51.9
2010-11-01,50.7
2010-12-01,51.7
2011-01-01,52.1
2011-02-01,56.5
2011-03-01,38.7
2011-04-01,53.1
2011-05-01,53.6
2011-06-01,53.3
2011-07-01,54.4
2011-08-01,53.4
2011-09-01,53
2011-10-01,53.2
2011-11-01,53.3
2011-12-01,53.2
2012-01-01,47.9
2012-02-01,53.2
2012-03-01,53.3
2012-04-01,54.7
2012-05-01,58.9
2012-06-01,54.7
2012-07-01,54.1
2012-08-01,53.3
2012-09-01,53.9
2012-10-01,53.8
2012-11-01,53.9
2012-12-01,53
2013-01-01,50.7
2013-02-01,53.8
2013-03-01,54.7
2013-04-01,59.2
2013-05-01,57
2013-06-01,55.1
2013-07-01,54.6
2013-08-01,54.5
2013-09-01,54.5
2013-10-01,54.3
2013-11-01,52.9
2013-12-01,52.8
2014-01-01,52.8
2014-02-01,54.2
2014-03-01,56
2014-04-01,55.9
2014-05-01,56.3
2014-06-01,55.7
2014-07-01,57
2014-08-01,58
2014-09-01,56.3
2014-10-01,56
2014-11-01,54.9
2014-12-01,55.7
2015-01-01,55.3
2015-02-01,57.5
2015-03-01,59.9
2015-04-01,63.4
2015-05-01,54.6
2015-06-01,53.4
2015-07-01,53
2015-08-01,52.7
