Date,情報通信業
2008-03-01,1498327
2008-06-01,1049347
2008-09-01,966980
2008-12-01,874316
2009-03-01,1391423
2009-06-01,956161
2009-09-01,986355
2009-12-01,995354
2010-03-01,1305988
2010-06-01,756458
2010-09-01,943108
2010-12-01,1043593
2011-03-01,1426473
2011-06-01,720122
2011-09-01,899548
2011-12-01,1123811
2012-03-01,1456837
2012-06-01,832541
2012-09-01,1016922
2012-12-01,980909
2013-03-01,1302059
2013-06-01,832204
2013-09-01,937475
2013-12-01,989641
2014-03-01,1246842
2014-06-01,818183
2014-09-01,888790
2014-12-01,909108
2015-03-01,1290599
2015-06-01,735339
