Date,キャブオーバーバン
2010-01-01,10681
2010-02-01,13632
2010-03-01,18990
2010-04-01,12744
2010-05-01,13860
2010-06-01,19915
2010-07-01,14820
2010-08-01,11096
2010-09-01,16584
2010-10-01,14385
2010-11-01,22902
2010-12-01,10896
2011-01-01,11620
2011-02-01,15075
2011-03-01,15024
2011-04-01,8366
2011-05-01,9800
2011-06-01,16021
2011-07-01,14695
2011-08-01,12872
2011-09-01,15488
2011-10-01,13996
2011-11-01,21371
2011-12-01,14377
2012-01-01,14616
2012-02-01,18440
2012-03-01,25042
2012-04-01,13920
2012-05-01,14171
2012-06-01,20179
2012-07-01,16504
2012-08-01,12446
2012-09-01,15277
2012-10-01,13846
2012-11-01,22915
2012-12-01,11487
2013-01-01,12937
2013-02-01,15650
2013-03-01,21028
2013-04-01,14005
2013-05-01,14402
2013-06-01,19464
2013-07-01,16514
2013-08-01,12080
2013-09-01,15712
2013-10-01,15372
2013-11-01,23528
2013-12-01,14036
2014-01-01,14595
2014-02-01,15938
2014-03-01,22331
2014-04-01,12657
2014-05-01,13074
2014-06-01,19645
2014-07-01,15376
2014-08-01,10496
2014-09-01,15841
2014-10-01,16110
2014-11-01,22576
2014-12-01,15792
2015-01-01,12454
2015-02-01,13206
2015-03-01,22345
2015-04-01,13143
2015-05-01,12589
2015-06-01,20646
2015-07-01,15509
2015-08-01,11851
2015-09-01,14478
