Date,Weekly U.S. Ending Stocks excluding SPR of Crude Oil  (Thousand Barrels)
1982-08-20,361185
1982-08-27,358559
1982-09-24,357494
1982-10-01,357414
1982-10-08,357888
1982-10-15,349607
1982-10-22,356998
1982-10-29,355695
1982-11-05,354154
1982-11-12,346545
1982-11-19,354361
1982-11-26,348736
1982-12-03,356499
1982-12-10,361995
1982-12-17,362964
1982-12-24,359113
1982-12-31,354202
1983-01-07,349198
1983-01-14,361525
1983-01-21,356675
1983-01-28,362114
1983-02-04,355237
1983-02-11,361429
1983-02-18,364750
1983-02-25,372162
1983-03-04,361642
1983-03-11,364179
1983-03-18,358327
1983-03-25,359581
1983-04-01,353422
1983-04-08,357470
1983-04-15,362746
1983-04-29,364914
1983-05-13,364976
1983-05-20,367818
1983-06-03,356545
1983-06-10,355345
1983-06-17,354651
1983-06-24,353549
1983-07-01,355646
1983-07-08,349035
1983-07-15,346524
1983-07-22,345902
1983-07-29,348526
1983-08-05,344632
1983-08-12,336851
1983-08-19,342869
1983-08-26,347005
1983-09-02,350800
1983-09-09,348275
1983-09-16,349997
1983-09-23,350108
1983-09-30,350933
1983-10-07,353755
1983-10-14,356324
1983-10-21,353713
1983-10-28,346242
1983-11-04,357858
1983-11-11,361362
1983-11-18,356880
1983-11-25,352725
1983-12-02,348190
1983-12-09,354118
1983-12-16,352837
1983-12-23,348395
1983-12-30,348954
1984-01-06,349956
1984-01-13,353690
1984-01-20,349697
1984-01-27,346187
1984-02-03,342429
1984-02-10,341624
1984-02-17,343684
1984-02-24,339586
1984-03-02,339497
1984-03-09,334883
1984-03-16,334196
1984-03-23,330823
1984-03-30,332257
1984-04-06,342499
1984-04-13,345897
1984-04-20,345315
1984-04-27,341534
1984-05-04,348229
1984-05-11,353892
1984-05-18,362106
1984-05-25,354061
1984-06-01,361194
1984-06-08,363724
1984-06-15,359769
1984-06-22,353249
1984-06-29,357534
1984-07-06,351716
1984-07-13,354487
1984-07-20,361168
1984-07-27,352945
1984-08-03,353623
1984-08-10,354779
1984-08-17,344569
1984-08-24,347317
1984-08-31,342822
1984-09-07,339758
1984-09-14,339093
1984-09-21,328043
1984-09-28,329512
1984-10-05,332206
1984-10-12,339605
1984-10-19,336268
1984-10-26,341895
1984-11-02,336191
1984-11-09,346384
1984-11-16,355470
1984-11-23,353908
1984-11-30,346877
1984-12-07,343592
1984-12-14,353083
1984-12-21,341837
1984-12-28,343581
1985-01-04,341061
1985-01-11,345245
1985-01-18,347646
1985-01-25,339056
1985-02-01,330711
1985-02-08,327240
1985-02-15,319327
1985-02-22,317179
1985-03-01,320084
1985-03-08,324525
1985-03-15,328671
1985-03-22,331750
1985-03-29,334476
1985-04-05,323174
1985-04-12,325918
1985-04-19,330889
1985-04-26,343379
1985-05-03,351298
1985-05-10,348556
1985-05-17,349214
1985-05-24,354847
1985-05-31,354350
1985-06-07,351727
1985-06-14,352469
1985-06-21,351240
1985-06-28,344845
1985-07-05,341653
1985-07-12,335802
1985-07-19,334599
1985-07-26,328090
1985-08-02,323523
1985-08-09,328670
1985-08-16,326349
1985-08-23,315463
1985-08-30,321135
1985-09-06,316604
1985-09-13,317030
1985-09-20,311743
1985-09-27,313377
1985-10-04,316255
1985-10-11,323930
1985-10-18,316545
1985-10-25,319715
1985-11-01,312991
1985-11-08,312349
1985-11-15,310499
1985-11-22,313891
1985-11-29,316355
1985-12-06,322155
1985-12-13,318550
1985-12-20,322013
1985-12-27,320330
1986-01-03,326873
1986-01-10,321505
1986-01-17,319705
1986-01-24,327358
1986-01-31,324722
1986-02-07,333430
1986-02-14,328802
1986-02-21,322671
1986-02-28,332231
1986-03-07,335792
1986-03-14,334506
1986-03-21,336880
1986-03-28,345334
1986-04-04,338465
1986-04-11,341763
1986-04-18,339369
1986-04-25,333649
1986-05-02,339294
1986-05-09,333345
1986-05-16,325357
1986-05-23,330599
1986-05-30,327577
1986-06-06,332902
1986-06-13,321327
1986-06-20,324621
1986-06-27,325986
1986-07-04,321220
1986-07-11,320750
1986-07-18,328944
1986-07-25,331930
1986-08-01,342123
1986-08-08,335035
1986-08-15,332982
1986-08-22,330866
1986-08-29,333066
1986-09-05,328480
1986-09-12,332724
1986-09-19,329514
1986-09-26,335512
1986-10-03,337350
1986-10-10,334609
1986-10-17,341600
1986-10-24,340024
1986-10-31,349357
1986-11-07,338618
1986-11-14,343025
1986-11-21,341800
1986-11-28,344383
1986-12-05,339996
1986-12-12,343075
1986-12-19,339998
1986-12-26,328613
1987-01-02,329554
1987-01-09,338657
1987-01-16,328991
1987-01-23,325965
1987-01-30,331186
1987-02-06,330025
1987-02-13,329463
1987-02-20,329751
1987-02-27,333037
1987-03-06,331829
1987-03-13,327361
1987-03-20,334858
1987-03-27,329504
1987-04-03,335838
1987-04-10,330298
1987-04-17,321273
1987-04-24,319974
1987-05-01,329261
1987-05-08,324305
1987-05-15,321972
1987-05-22,325075
1987-05-29,321261
1987-06-05,322233
1987-06-12,322624
1987-06-19,323162
1987-06-26,325733
1987-07-03,326322
1987-07-10,324241
1987-07-17,320085
1987-07-24,323081
1987-07-31,328456
1987-08-07,322458
1987-08-14,323912
1987-08-21,330720
1987-08-28,330951
1987-09-04,335040
1987-09-11,334232
1987-09-18,334134
1987-09-25,337589
1987-10-02,335623
1987-10-09,332398
1987-10-16,335192
1987-10-23,338294
1987-10-30,350333
1987-11-06,354594
1987-11-13,356496
1987-11-20,359537
1987-11-27,357153
1987-12-04,358481
1987-12-11,359831
1987-12-18,361847
1987-12-25,360355
1988-01-01,354970
1988-01-08,342166
1988-01-15,341883
1988-01-22,341075
1988-01-29,337323
1988-02-05,338483
1988-02-12,333742
1988-02-19,342232
1988-02-26,345417
1988-03-04,346636
1988-03-11,346550
1988-03-18,350299
1988-03-25,348651
1988-04-01,349619
1988-04-08,354787
1988-04-15,354378
1988-04-22,359159
1988-04-29,356124
1988-05-06,361182
1988-05-13,364391
1988-05-20,366310
1988-05-27,362055
1988-06-03,363892
1988-06-10,361243
1988-06-17,365440
1988-06-24,362711
1988-07-01,363391
1988-07-08,360864
1988-07-15,355340
1988-07-22,351832
1988-07-29,353446
1988-08-05,351078
1988-08-12,348714
1988-08-19,343948
1988-08-26,339254
1988-09-02,334499
1988-09-09,332638
1988-09-16,326098
1988-09-23,321385
1988-09-30,326991
1988-10-07,326774
1988-10-14,331771
1988-10-21,336409
1988-10-28,337725
1988-11-04,343227
1988-11-11,339805
1988-11-18,347953
1988-11-25,343539
1988-12-02,340966
1988-12-09,345465
1988-12-16,340207
1988-12-23,335982
1988-12-30,334871
1989-01-06,327629
1989-01-13,324718
1989-01-20,328566
1989-01-27,329061
1989-02-03,335187
1989-02-10,326459
1989-02-17,327307
1989-02-24,326497
1989-03-03,336004
1989-03-10,334795
1989-03-17,339327
1989-03-24,338802
1989-03-31,328756
1989-04-07,327446
1989-04-14,323019
1989-04-21,333411
1989-04-28,337500
1989-05-05,347868
1989-05-12,349714
1989-05-19,343229
1989-05-26,341318
1989-06-02,345244
1989-06-09,341998
1989-06-16,339580
1989-06-23,343095
1989-06-30,335812
1989-07-07,336541
1989-07-14,334216
1989-07-21,333214
1989-07-28,334472
1989-08-04,334691
1989-08-11,331654
1989-08-18,340620
1989-08-25,339527
1989-09-01,339314
1989-09-08,341592
1989-09-15,330738
1989-09-22,331893
1989-09-29,334472
1989-10-06,338773
1989-10-13,344299
1989-10-20,337529
1989-10-27,342665
1989-11-03,340649
1989-11-10,348205
1989-11-17,348031
1989-11-24,344376
1989-12-01,352895
1989-12-08,343562
1989-12-15,348516
1989-12-22,345870
1989-12-29,344790
1990-01-05,344810
1990-01-12,348407
1990-01-19,346761
1990-01-26,344711
1990-02-02,354250
1990-02-09,349438
1990-02-16,346991
1990-02-23,342415
1990-03-02,346146
1990-03-09,352472
1990-03-16,351026
1990-03-23,360261
1990-03-30,363195
1990-04-06,370432
1990-04-13,371349
1990-04-20,369789
1990-04-27,373997
1990-05-04,373366
1990-05-11,378079
1990-05-18,381875
1990-05-25,382600
1990-06-01,385082
1990-06-08,386950
1990-06-15,386465
1990-06-22,387168
1990-06-29,388172
1990-07-06,384972
1990-07-13,389515
1990-07-20,387338
1990-07-27,391907
1990-08-03,384018
1990-08-10,379173
1990-08-17,379503
1990-08-24,381127
1990-08-31,375880
1990-09-07,378769
1990-09-14,373122
1990-09-21,367397
1990-09-28,357570
1990-10-05,355378
1990-10-12,347859
1990-10-19,345099
1990-10-26,346341
1990-11-02,350390
1990-11-09,352034
1990-11-16,346291
1990-11-23,343266
1990-11-30,345853
1990-12-07,340355
1990-12-14,339097
1990-12-21,340935
1990-12-28,334863
1991-01-04,327250
1991-01-11,328148
1991-01-18,326759
1991-01-25,326751
1991-02-01,329962
1991-02-08,331172
1991-02-15,337091
1991-02-22,335996
1991-03-01,336208
1991-03-08,334536
1991-03-15,340911
1991-03-22,341784
1991-03-29,346521
1991-04-05,340620
1991-04-12,345118
1991-04-19,342032
1991-04-26,347576
1991-05-03,343856
1991-05-10,343621
1991-05-17,349613
1991-05-24,349040
1991-05-31,355917
1991-06-07,356050
1991-06-14,356849
1991-06-21,355471
1991-06-28,352418
1991-07-05,353697
1991-07-12,352642
1991-07-19,350857
1991-07-26,347088
1991-08-02,347764
1991-08-09,349478
1991-08-16,347545
1991-08-23,352849
1991-08-30,354751
1991-09-06,345143
1991-09-13,338576
1991-09-20,338707
1991-09-27,343414
1991-10-04,341993
1991-10-11,345326
1991-10-18,342866
1991-10-25,351687
1991-11-01,345609
1991-11-08,349424
1991-11-15,354560
1991-11-22,348552
1991-11-29,343095
1991-12-06,348669
1991-12-13,342631
1991-12-20,338479
1991-12-27,328399
1992-01-03,333870
1992-01-10,337361
1992-01-17,336185
1992-01-24,341856
1992-01-31,337440
1992-02-07,337240
1992-02-14,335433
1992-02-21,338608
1992-02-28,345629
1992-03-06,352199
1992-03-13,346754
1992-03-20,350285
1992-03-27,344765
1992-04-03,340655
1992-04-10,349110
1992-04-17,351916
1992-04-24,352718
1992-05-01,354682
1992-05-08,354022
1992-05-15,355317
1992-05-22,350728
1992-05-29,348082
1992-06-05,348257
1992-06-12,349053
1992-06-19,342752
1992-06-26,331848
1992-07-03,330901
1992-07-10,333564
1992-07-17,327199
1992-07-24,327173
1992-07-31,332964
1992-08-07,331310
1992-08-14,330317
1992-08-21,334921
1992-08-28,327469
1992-09-04,329079
1992-09-11,328396
1992-09-18,329232
1992-09-25,324498
1992-10-02,327598
1992-10-09,326819
1992-10-16,329063
1992-10-23,330088
1992-10-30,333494
1992-11-06,327253
1992-11-13,320212
1992-11-20,325768
1992-11-27,327315
1992-12-04,326580
1992-12-11,332152
1992-12-18,331833
1992-12-25,320044
1993-01-01,320634
1993-01-08,318002
1993-01-15,325933
1993-01-22,324767
1993-01-29,326769
1993-02-05,330592
1993-02-12,337283
1993-02-19,326961
1993-02-26,334844
1993-03-05,340785
1993-03-12,346392
1993-03-19,333210
1993-03-26,341108
1993-04-02,341627
1993-04-09,353151
1993-04-16,343891
1993-04-23,344986
1993-04-30,347683
1993-05-07,348105
1993-05-14,353557
1993-05-21,356671
1993-05-28,352853
1993-06-04,351092
1993-06-11,343178
1993-06-18,352431
1993-06-25,358721
1993-07-02,350567
1993-07-09,353989
1993-07-16,362155
1993-07-23,356628
1993-07-30,352211
1993-08-06,353008
1993-08-13,348502
1993-08-20,343775
1993-08-27,345131
1993-09-03,338562
1993-09-10,339884
1993-09-17,339673
1993-09-24,330147
1993-10-01,327688
1993-10-08,331946
1993-10-15,327072
1993-10-22,334497
1993-10-29,336281
1993-11-05,333462
1993-11-12,338473
1993-11-19,332961
1993-11-26,334354
1993-12-03,339787
1993-12-10,346115
1993-12-17,348525
1993-12-24,348357
1993-12-31,341820
1994-01-07,334900
1994-01-14,334706
1994-01-21,329228
1994-01-28,332318
1994-02-04,336224
1994-02-11,331869
1994-02-18,334897
1994-02-25,327715
1994-03-04,335419
1994-03-11,330343
1994-03-18,342246
1994-03-25,337115
1994-04-01,337311
1994-04-08,337826
1994-04-15,339757
1994-04-22,339835
1994-04-29,340745
1994-05-06,334779
1994-05-13,333841
1994-05-20,335495
1994-05-27,334401
1994-06-03,329665
1994-06-10,326856
1994-06-17,325289
1994-06-24,328768
1994-07-01,329738
1994-07-08,329912
1994-07-15,333094
1994-07-22,336351
1994-07-29,330499
1994-08-05,327846
1994-08-12,330961
1994-08-19,328124
1994-08-26,325680
1994-09-02,325456
1994-09-09,325194
1994-09-16,326649
1994-09-23,332544
1994-09-30,335815
1994-10-07,334805
1994-10-14,339245
1994-10-21,337416
1994-10-28,346751
1994-11-04,345685
1994-11-11,344957
1994-11-18,341979
1994-11-25,339507
1994-12-02,339113
1994-12-09,337625
1994-12-16,336970
1994-12-23,337656
1994-12-30,330266
1995-01-06,332200
1995-01-13,330918
1995-01-20,324504
1995-01-27,324223
1995-02-03,327376
1995-02-10,321042
1995-02-17,328405
1995-02-24,322834
1995-03-03,325352
1995-03-10,325837
1995-03-17,326376
1995-03-24,330426
1995-03-31,338187
1995-04-07,335372
1995-04-14,336556
1995-04-21,339578
1995-04-28,335471
1995-05-05,333511
1995-05-12,334334
1995-05-19,330185
1995-05-26,327166
1995-06-02,325245
1995-06-09,324692
1995-06-16,324203
1995-06-23,316736
1995-06-30,320462
1995-07-07,318831
1995-07-14,318814
1995-07-21,311931
1995-07-28,314880
1995-08-04,308000
1995-08-11,310505
1995-08-18,303115
1995-08-25,306068
1995-09-01,313760
1995-09-08,309158
1995-09-15,308251
1995-09-22,307701
1995-09-29,302646
1995-10-06,298668
1995-10-13,298643
1995-10-20,300819
1995-10-27,302343
1995-11-03,305535
1995-11-10,303909
1995-11-17,313518
1995-11-24,319597
1995-12-01,316519
1995-12-08,312259
1995-12-15,318121
1995-12-22,312264
1995-12-29,302038
1996-01-05,302691
1996-01-12,305619
1996-01-19,309897
1996-01-26,308152
1996-02-02,305941
1996-02-09,303707
1996-02-16,300647
1996-02-23,300990
1996-03-01,297914
1996-03-08,306139
1996-03-15,300870
1996-03-22,299653
1996-03-29,297590
1996-04-05,299811
1996-04-12,301210
