Date,総台数
2010-01-01,128307
2010-02-01,163338
2010-03-01,231195
2010-04-01,130370
2010-05-01,127633
2010-06-01,155279
2010-07-01,153201
2010-08-01,134196
2010-09-01,163292
2010-10-01,111070
2010-11-01,120354
2010-12-01,108185
2011-01-01,118340
2011-02-01,148658
2011-03-01,158209
2011-04-01,76848
2011-05-01,95209
2011-06-01,126802
2011-07-01,131586
2011-08-01,113332
2011-09-01,148401
2011-10-01,133184
2011-11-01,143331
2011-12-01,127245
2012-01-01,152657
2012-02-01,186413
2012-03-01,253929
2012-04-01,150653
2012-05-01,158581
2012-06-01,188189
2012-07-01,184582
2012-08-01,138404
2012-09-01,158207
2012-10-01,133790
2012-11-01,149967
2012-12-01,124074
2013-01-01,154168
2013-02-01,184926
2013-03-01,247059
2013-04-01,151999
2013-05-01,148549
2013-06-01,183912
2013-07-01,187794
2013-08-01,149343
2013-09-01,198443
2013-10-01,157082
2013-11-01,180970
2013-12-01,168746
2014-01-01,203659
2014-02-01,228992
2014-03-01,302345
2014-04-01,156361
2014-05-01,156463
2014-06-01,187384
2014-07-01,174377
2014-08-01,126864
2014-09-01,203446
2014-10-01,155994
2014-11-01,176945
2014-12-01,199960
2015-01-01,164196
2015-02-01,193754
2015-03-01,277387
2015-04-01,121109
2015-05-01,125754
2015-06-01,163256
2015-07-01,142854
2015-08-01,115745
2015-09-01,173573
