Date,製造業
2008-03-01,6024983
2008-06-01,4587247
2008-09-01,5205728
2008-12-01,4325231
2009-03-01,4746082
2009-06-01,3119619
2009-09-01,3089034
2009-12-01,2831530
2010-03-01,3264933
2010-06-01,2792163
2010-09-01,3370849
2010-12-01,3199594
2011-03-01,4045011
2011-06-01,2737169
2011-09-01,3316429
2011-12-01,3381790
2012-03-01,4200724
2012-06-01,3138971
2012-09-01,3331865
2012-12-01,3055582
2013-03-01,3851949
2013-06-01,2852112
2013-09-01,3107613
2013-12-01,3077101
2014-03-01,4112533
2014-06-01,2830112
2014-09-01,3444370
2014-12-01,3324584
2015-03-01,4375621
2015-06-01,3157788
