Date,対個人サービス業（調査９業種）総合 学習塾
2004-01-01,90.4
2004-02-01,90.8
2004-03-01,91.9
2004-04-01,94.3
2004-05-01,94.4
2004-06-01,97.5
2004-07-01,94.4
2004-08-01,93.9
2004-09-01,95.5
2004-10-01,95.5
2004-11-01,96.5
2004-12-01,94.4
2005-01-01,96.1
2005-02-01,96.4
2005-03-01,97.8
2005-04-01,97.7
2005-05-01,98.3
2005-06-01,100
2005-07-01,103.7
2005-08-01,100.6
2005-09-01,101.8
2005-10-01,101.9
2005-11-01,101.8
2005-12-01,102.2
2006-01-01,104.5
2006-02-01,101.6
2006-03-01,104.7
2006-04-01,105.2
2006-05-01,105.8
2006-06-01,106.1
2006-07-01,105
2006-08-01,107.6
2006-09-01,108.8
2006-10-01,105.4
2006-11-01,107.1
2006-12-01,107.8
2007-01-01,106.7
2007-02-01,107.2
2007-03-01,108.2
2007-04-01,110.9
2007-05-01,108.5
2007-06-01,107.2
2007-07-01,109.4
2007-08-01,109
2007-09-01,109.3
2007-10-01,109
2007-11-01,108.6
2007-12-01,110.6
2008-01-01,110.9
2008-02-01,112.1
2008-03-01,112.7
2008-04-01,112.5
2008-05-01,111.6
2008-06-01,112.5
2008-07-01,112.9
2008-08-01,111.9
2008-09-01,112.1
2008-10-01,113.3
2008-11-01,112.5
2008-12-01,110.8
2009-01-01,112
2009-02-01,111.5
2009-03-01,112.1
2009-04-01,112.4
2009-05-01,108.5
2009-06-01,117.1
2009-07-01,111.5
2009-08-01,112.8
2009-09-01,110.3
2009-10-01,113
2009-11-01,112.3
2009-12-01,115.4
2010-01-01,112.5
2010-02-01,111.8
2010-03-01,108.6
2010-04-01,112.1
2010-05-01,113.1
2010-06-01,115.2
2010-07-01,115.9
2010-08-01,113.6
2010-09-01,114.1
2010-10-01,113.8
2010-11-01,115.6
2010-12-01,115.5
2011-01-01,114.4
2011-02-01,116.7
2011-03-01,112.9
2011-04-01,113.7
2011-05-01,114.7
2011-06-01,114
2011-07-01,114.9
2011-08-01,119
2011-09-01,115.9
2011-10-01,116.1
2011-11-01,116
2011-12-01,116.5
2012-01-01,117.6
2012-02-01,118.2
2012-03-01,118.1
2012-04-01,118.2
2012-05-01,117.2
2012-06-01,114.9
2012-07-01,118.3
2012-08-01,119.2
2012-09-01,118.9
2012-10-01,119.2
2012-11-01,120.4
2012-12-01,115.2
2013-01-01,118.5
2013-02-01,116.9
2013-03-01,117.6
2013-04-01,117.3
2013-05-01,116.2
2013-06-01,116.3
2013-07-01,116.5
2013-08-01,117.9
2013-09-01,117.9
2013-10-01,118.4
2013-11-01,118.6
2013-12-01,116.6
2014-01-01,117.6
2014-02-01,115.9
2014-03-01,119
2014-04-01,117.2
2014-05-01,115.3
2014-06-01,116.7
2014-07-01,118.3
2014-08-01,116.8
2014-09-01,118
2014-10-01,118.9
2014-11-01,117.2
2014-12-01,118.4
2015-01-01,117
2015-02-01,117.1
2015-03-01,120.8
2015-04-01,118.7
2015-05-01,117.6
2015-06-01,119.5
2015-07-01,120.4
2015-08-01,118.4
