Date,本税-上場株式等の譲渡所得等(百万円)
1984-01-01,NA
1985-01-01,NA
1986-01-01,NA
1987-01-01,NA
1988-01-01,NA
1989-01-01,604428
1990-01-01,466229
1991-01-01,258502
1992-01-01,112181
1993-01-01,193486
1994-01-01,174171
1995-01-01,167762
1996-01-01,202002
1997-01-01,127012
1998-01-01,101260
1999-01-01,416534
2000-01-01,385460
2001-01-01,180810
2002-01-01,196831
2003-01-01,55178
2004-01-01,95756
2005-01-01,254672
2006-01-01,223942
2007-01-01,210356
2008-01-01,49652
2009-01-01,50449
2010-01-01,46817
2011-01-01,38895
2012-01-01,43371
2013-01-01,516579
