Date,完全失業者.女.季節調整値.万人
2013-02-01,109
2013-03-01,100
2013-04-01,107
2013-05-01,108
2013-06-01,99
2013-07-01,93
2013-08-01,104
2013-09-01,99
2013-10-01,104
2013-11-01,105
2013-12-01,99
2014-01-01,97
2014-02-01,94
2014-03-01,97
2014-04-01,95
2014-05-01,95
2014-06-01,99
2014-07-01,102
2014-08-01,91
2014-09-01,96
2014-10-01,91
2014-11-01,89
2014-12-01,92
2015-01-01,93
2015-02-01,90
2015-03-01,87
2015-04-01,90
2015-05-01,85
2015-06-01,88
2015-07-01,91
