Date,第3次産業総合.間接法.季節調整
2008-01-01,104.4
2008-02-01,105.3
2008-03-01,106.7
2008-04-01,104.9
2008-05-01,104.7
2008-06-01,103.9
2008-07-01,103.7
2008-08-01,102.6
2008-09-01,103.1
2008-10-01,102.7
2008-11-01,101.8
2008-12-01,101.3
2009-01-01,100.4
2009-02-01,99.1
2009-03-01,99
2009-04-01,98.7
2009-05-01,98.5
2009-06-01,98.8
2009-07-01,98.6
2009-08-01,98.8
2009-09-01,99.1
2009-10-01,98.9
2009-11-01,98.8
2009-12-01,98.6
2010-01-01,100
2010-02-01,99.2
2010-03-01,100.3
2010-04-01,100.5
2010-05-01,99.2
2010-06-01,99.6
2010-07-01,100.2
2010-08-01,100.6
2010-09-01,100.3
2010-10-01,99.8
2010-11-01,100.6
2010-12-01,100.1
2011-01-01,101
2011-02-01,101.2
2011-03-01,96.5
2011-04-01,98.2
2011-05-01,98.5
2011-06-01,100.3
2011-07-01,100.8
2011-08-01,100.6
2011-09-01,100.5
2011-10-01,101.2
2011-11-01,100.9
2011-12-01,101.9
2012-01-01,101.4
2012-02-01,101.8
2012-03-01,101.4
2012-04-01,101.6
2012-05-01,101.8
2012-06-01,102
2012-07-01,101.9
2012-08-01,102.1
2012-09-01,101.5
2012-10-01,102.1
2012-11-01,101.9
2012-12-01,102.3
2013-01-01,101.8
2013-02-01,102.4
2013-03-01,102.7
2013-04-01,102.6
2013-05-01,103
2013-06-01,102.7
2013-07-01,102.7
2013-08-01,103.1
2013-09-01,103
2013-10-01,102.6
2013-11-01,103.2
2013-12-01,102.9
2014-01-01,103.6
2014-02-01,103.3
2014-03-01,105.5
2014-04-01,100.7
2014-05-01,101.6
2014-06-01,101.3
2014-07-01,101.4
2014-08-01,101.5
2014-09-01,102.1
2014-10-01,102.1
2014-11-01,102.1
2014-12-01,102.5
2015-01-01,103.6
2015-02-01,103.4
2015-03-01,103
2015-04-01,103.3
2015-05-01,102.8
2015-06-01,103.1
2015-07-01,103.3
