date,XAU.USD.correlation
2015-03-16,-0.885449953206331
2015-03-17,-0.886751650985527
2015-03-18,-0.887392402781065
2015-03-19,-0.885512243397106
2015-03-20,-0.867942810865814
2015-03-21,-0.850625033170353
2015-03-22,-0.80496260360048
2015-03-23,-0.762761051362946
2015-03-24,-0.719145791543914
2015-03-25,-0.657038507335328
2015-03-26,-0.583290688166349
2015-03-27,-0.478626686853581
2015-03-28,-0.366327189934702
2015-03-29,-0.249107098936163
2015-03-30,-0.124807136609956
2015-03-31,-0.00901527760245065
2015-04-01,0.104228017859713
2015-04-02,0.26642420287926
2015-04-03,0.441197558005532
2015-04-04,0.608161720043821
2015-04-05,0.763166765878256
2015-04-06,0.856892622386046
2015-04-07,0.881444067012874
2015-04-08,0.900846272241382
2015-04-09,0.91890643160645
2015-04-10,0.907037311775853
2015-04-11,0.892537916365776
2015-04-12,0.882637192046658
2015-04-13,0.870052251394928
2015-04-14,0.845903255918242
