Date,販売価格見通し／１年後／企業の物価見通しの平均／全規模／全産業
2014-03-01,1.1
2014-06-01,1.1
2014-09-01,1.1
2014-12-01,1
2015-03-01,0.9
2015-06-01,0.9
2015-09-01,0.7
