Date,建築物着工統計.卸売業，小売業.千平米
2013-02-01,913.535
2013-03-01,939.232
2013-04-01,1195.158
2013-05-01,1055.053
2013-06-01,1033.1
2013-07-01,986.245
2013-08-01,612.805
2013-09-01,825.801
2013-10-01,708.68
2013-11-01,666.464
2013-12-01,720.044
2014-01-01,918.851
2014-02-01,658.78
2014-03-01,827.881
2014-04-01,938.324
2014-05-01,680.16
2014-06-01,989.388
2014-07-01,654.981
2014-08-01,572.834
2014-09-01,572.015
2014-10-01,1212.344
2014-11-01,859.509
2014-12-01,563.507
2015-01-01,774.608
2015-02-01,535.083
2015-03-01,464.849
2015-04-01,767.297
2015-05-01,675.929
2015-06-01,627.821
2015-07-01,790.716
