Date,貨物車計
2010-01-01,28401
2010-02-01,38126
2010-03-01,53684
2010-04-01,32402
2010-05-01,34145
2010-06-01,44042
2010-07-01,40005
2010-08-01,32763
2010-09-01,40912
2010-10-01,31218
2010-11-01,40085
2010-12-01,25972
2011-01-01,26835
2011-02-01,34315
2011-03-01,38419
2011-04-01,20447
2011-05-01,23293
2011-06-01,34454
2011-07-01,34016
2011-08-01,28711
2011-09-01,36731
2011-10-01,32677
2011-11-01,40720
2011-12-01,31775
2012-01-01,33079
2012-02-01,38919
2012-03-01,56740
2012-04-01,31428
2012-05-01,31423
2012-06-01,38352
2012-07-01,34924
2012-08-01,27626
2012-09-01,32657
2012-10-01,30922
2012-11-01,39307
2012-12-01,26388
2013-01-01,28647
2013-02-01,33656
2013-03-01,46071
2013-04-01,31062
2013-05-01,32089
2013-06-01,38382
2013-07-01,35756
2013-08-01,27519
2013-09-01,36548
2013-10-01,35508
2013-11-01,44871
2013-12-01,32711
2014-01-01,34321
2014-02-01,38490
2014-03-01,53496
2014-04-01,29022
2014-05-01,30746
2014-06-01,37179
2014-07-01,33690
2014-08-01,23288
2014-09-01,40058
2014-10-01,34348
2014-11-01,41012
2014-12-01,38021
2015-01-01,27791
2015-02-01,30127
2015-03-01,47002
2015-04-01,27975
2015-05-01,27094
2015-06-01,37908
2015-07-01,32642
2015-08-01,25209
2015-09-01,33626
