date,USD.ZAR.correlation
2015-04-02,0.0343388986977618
2015-04-03,-0.103094893642091
2015-04-04,-0.270402873974182
2015-04-05,-0.456797161417208
2015-04-06,-0.605042189271521
2015-04-07,-0.690747114136232
2015-04-08,-0.761710623658342
2015-04-09,-0.821930748019067
2015-04-10,-0.836865598989204
2015-04-11,-0.810736965903333
2015-04-12,-0.784838337640003
2015-04-13,-0.739139081747552
2015-04-14,-0.651344471580097
2015-04-15,-0.548463276837151
2015-04-16,-0.428622150674519
2015-04-17,-0.303407543205215
2015-04-18,-0.171370708629552
2015-04-19,-0.024204815052652
2015-04-20,0.148577758776436
2015-04-21,0.224686530666938
2015-04-22,0.322750923711371
2015-04-23,0.405933868493565
2015-04-24,0.443907370834064
2015-04-25,0.435320078220887
2015-04-26,0.429978335393797
2015-04-27,0.467607690208962
2015-04-28,0.509728809446097
2015-04-29,0.486659558486226
2015-04-30,0.427531074153429
2015-05-01,0.431521177657481
