Date,建築物着工統計.鉄骨造.千平米
2013-02-01,3747.672
2013-03-01,4093.268
2013-04-01,4359.094
2013-05-01,4308.949
2013-06-01,4719.406
2013-07-01,4699.251
2013-08-01,4441.992
2013-09-01,4552.107
2013-10-01,4369.606
2013-11-01,4277.588
2013-12-01,4352.636
2014-01-01,4663.062
2014-02-01,3672.501
2014-03-01,3927.003
2014-04-01,4100.578
2014-05-01,3771.739
2014-06-01,4517.687
2014-07-01,4280.301
2014-08-01,4058.721
2014-09-01,3802.114
2014-10-01,4773.674
2014-11-01,3986.451
2014-12-01,3671.592
2015-01-01,3735.287
2015-02-01,4283.981
2015-03-01,3571.432
2015-04-01,4334.086
2015-05-01,4079.258
2015-06-01,4511.262
2015-07-01,4515.594
