Date,Weekly U.S. Net Imports of Crude Oil  (Thousand Barrels per Day)
2007-03-02,8850
2007-03-09,9780
2007-03-16,10396
2007-03-23,9610
2007-03-30,10223
2007-04-06,9782
2007-04-13,9897
2007-04-20,10013
2007-04-27,10242
2007-05-04,10969
2007-05-11,10309
2007-05-18,10869
2007-05-25,9995
2007-06-01,10217
2007-06-08,10118
2007-06-15,10768
2007-06-22,10478
2007-06-29,10755
2007-07-06,10002
2007-07-13,10352
2007-07-20,10355
2007-07-27,10142
2007-08-03,9974
2007-08-10,9849
2007-08-17,10791
2007-08-24,9798
2007-08-31,10212
2007-09-07,9538
2007-09-14,9780
2007-09-21,10417
2007-09-28,10228
2007-10-05,9845
2007-10-12,10384
2007-10-19,9079
2007-10-26,9357
2007-11-02,9631
2007-11-09,10462
2007-11-16,9795
2007-11-23,10329
2007-11-30,9349
2007-12-07,10038
2007-12-14,9086
2007-12-21,9780
2007-12-28,9984
2008-01-04,9781
2008-01-11,10363
2008-01-18,10130
2008-01-25,10030
2008-02-01,10488
2008-02-08,9711
2008-02-15,10076
2008-02-22,9932
2008-02-29,9411
2008-03-07,10522
2008-03-14,9442
2008-03-21,8872
2008-03-28,10257
2008-04-04,8886
2008-04-11,8853
2008-04-18,10015
2008-04-25,10189
2008-05-02,10602
2008-05-09,9907
2008-05-16,9211
2008-05-23,8933
2008-05-30,9759
2008-06-06,9661
2008-06-13,10232
2008-06-20,10224
2008-06-27,10141
2008-07-04,9520
2008-07-11,10764
2008-07-18,9779
2008-07-25,9978
2008-08-01,10166
2008-08-08,9628
2008-08-15,10964
2008-08-22,9952
2008-08-29,9804
2008-09-05,8555
2008-09-12,8484
2008-09-19,7117
2008-09-26,8963
2008-10-03,10319
2008-10-10,10134
2008-10-17,10373
2008-10-24,10310
2008-10-31,9945
2008-11-07,9476
2008-11-14,9844
2008-11-21,10932
2008-11-28,9477
2008-12-05,9931
2008-12-12,9645
2008-12-19,9090
2008-12-26,9221
2009-01-02,10457
2009-01-09,9701
2009-01-16,9838
2009-01-23,9680
2009-01-30,10009
2009-02-06,9624
2009-02-13,8764
2009-02-20,8740
2009-02-27,8999
2009-03-06,9092
2009-03-13,9151
2009-03-20,9355
2009-03-27,9525
2009-04-03,9302
2009-04-10,9361
2009-04-17,9825
2009-04-24,9793
2009-05-01,9889
2009-05-08,8677
2009-05-15,8761
2009-05-22,8748
2009-05-29,9616
2009-06-05,8940
2009-06-12,9007
2009-06-19,9254
2009-06-26,9333
2009-07-03,9194
2009-07-10,9518
2009-07-17,9172
2009-07-24,9993
2009-07-31,9256
2009-08-07,9499
2009-08-14,8082
2009-08-21,9194
2009-08-28,9545
2009-09-04,9064
2009-09-11,8872
2009-09-18,9763
2009-09-25,9502
2009-10-02,9067
2009-10-09,8699
2009-10-16,8667
2009-10-23,8858
2009-10-30,8094
2009-11-06,8624
2009-11-13,8547
2009-11-20,8918
2009-11-27,8369
2009-12-04,8105
2009-12-11,7740
2009-12-18,7675
2009-12-25,7995
2010-01-01,8323
2010-01-08,8863
2010-01-15,8507
2010-01-22,7834
2010-01-29,8393
2010-02-05,8309
2010-02-12,8515
2010-02-19,9051
2010-02-26,9203
