Date,割合.%.正規の職員・従業員
2013-02-01,27.9
2013-03-01,29.5
2013-04-01,30
2013-05-01,28.7
2013-06-01,30.2
2013-07-01,30.4
2013-08-01,26.1
2013-09-01,27.8
2013-10-01,29.2
2013-11-01,27
2013-12-01,25.9
2014-01-01,24.9
2014-02-01,25.4
2014-03-01,27.4
2014-04-01,28.8
2014-05-01,27.8
2014-06-01,28.7
2014-07-01,28.7
2014-08-01,26.5
2014-09-01,25.8
2014-10-01,26.8
2014-11-01,25.8
2014-12-01,27
2015-01-01,25.8
2015-02-01,24.9
2015-03-01,26.9
2015-04-01,25.7
2015-05-01,25.6
2015-06-01,27
2015-07-01,27.5
