Date,15-24歳.正規の職員・従業員
2013-02-01,222
2013-03-01,223
2013-04-01,269
2013-05-01,274
2013-06-01,272
2013-07-01,263
2013-08-01,258
2013-09-01,236
2013-10-01,230
2013-11-01,229
2013-12-01,227
2014-01-01,222
2014-02-01,223
2014-03-01,227
2014-04-01,270
2014-05-01,281
2014-06-01,269
2014-07-01,261
2014-08-01,262
2014-09-01,261
2014-10-01,249
2014-11-01,235
2014-12-01,222
2015-01-01,223
2015-02-01,233
2015-03-01,226
2015-04-01,276
2015-05-01,283
2015-06-01,273
2015-07-01,270
