Date,水運業
2008-03-01,64621
2008-06-01,116843
2008-09-01,68861
2008-12-01,36134
2009-03-01,64981
2009-06-01,90645
2009-09-01,63755
2009-12-01,119589
2010-03-01,64117
2010-06-01,63206
2010-09-01,117928
2010-12-01,24628
2011-03-01,94044
2011-06-01,71575
2011-09-01,90116
2011-12-01,61003
2012-03-01,138075
2012-06-01,90622
2012-09-01,71886
2012-12-01,63468
2013-03-01,87910
2013-06-01,46642
2013-09-01,86177
2013-12-01,92285
2014-03-01,137990
2014-06-01,116534
2014-09-01,40856
2014-12-01,116775
2015-03-01,134071
2015-06-01,64149
