Date,トラック
2010-01-01,15313
2010-02-01,20948
2010-03-01,29510
2010-04-01,15846
2010-05-01,16592
2010-06-01,20055
2010-07-01,21111
2010-08-01,18298
2010-09-01,20682
2010-10-01,14092
2010-11-01,14372
2010-12-01,12801
2011-01-01,12985
2011-02-01,15876
2011-03-01,18852
2011-04-01,9981
2011-05-01,11268
2011-06-01,15316
2011-07-01,15540
2011-08-01,13394
2011-09-01,18377
2011-10-01,16397
2011-11-01,17190
2011-12-01,15489
2012-01-01,16512
2012-02-01,18108
2012-03-01,28587
2012-04-01,14987
2012-05-01,14324
2012-06-01,15259
2012-07-01,15812
2012-08-01,13308
2012-09-01,15289
2012-10-01,14936
2012-11-01,14617
2012-12-01,13453
2013-01-01,14049
2013-02-01,16065
2013-03-01,22165
2013-04-01,14287
2013-05-01,15230
2013-06-01,16411
2013-07-01,17020
2013-08-01,13739
2013-09-01,18775
2013-10-01,18196
2013-11-01,19638
2013-12-01,17318
2014-01-01,18193
2014-02-01,20563
2014-03-01,28407
2014-04-01,14626
2014-05-01,15839
2014-06-01,15475
2014-07-01,16497
2014-08-01,11347
2014-09-01,21966
2014-10-01,16597
2014-11-01,16902
2014-12-01,19899
2015-01-01,13997
2015-02-01,15179
2015-03-01,22158
2015-04-01,12975
2015-05-01,12979
2015-06-01,15601
2015-07-01,15568
2015-08-01,12179
2015-09-01,17708
