Date,対個人サービス業（調査９業種）総合 ゴルフ場
2005-01-01,2.81
2005-02-01,-18.84
2005-03-01,-12.52
2005-04-01,-10.87
2005-05-01,-3.62
2005-06-01,-4.58
2005-07-01,-8.56
2005-08-01,-4.34
2005-09-01,-4.62
2005-10-01,4.26
2005-11-01,-5.18
2005-12-01,-22.14
2006-01-01,-8.51
2006-02-01,4.71
2006-03-01,3.53
2006-04-01,4.28
2006-05-01,-2.08
2006-06-01,-2.25
2006-07-01,-0.88
2006-08-01,0.49
2006-09-01,3.75
2006-10-01,-6.99
2006-11-01,-1.36
2006-12-01,18.07
2007-01-01,17.83
2007-02-01,17.23
2007-03-01,6.71
2007-04-01,-2.6
2007-05-01,3.84
2007-06-01,5.91
2007-07-01,-0.69
2007-08-01,2.75
2007-09-01,-1.52
2007-10-01,-0.1
2007-11-01,3.26
2007-12-01,0.49
2008-01-01,-4.42
2008-02-01,-17.6
2008-03-01,-0.29
2008-04-01,4.52
2008-05-01,0.88
2008-06-01,-5.29
2008-07-01,3.07
2008-08-01,-4.49
2008-09-01,-4.06
2008-10-01,-2.25
2008-11-01,-5.74
2008-12-01,-2.65
2009-01-01,-11.7
2009-02-01,12.27
2009-03-01,-8.15
2009-04-01,-5.89
2009-05-01,-8.49
2009-06-01,-5.89
2009-07-01,-11.35
2009-08-01,-2
2009-09-01,-3.83
2009-10-01,-6.29
2009-11-01,-7.11
2009-12-01,-5.85
2010-01-01,4.79
2010-02-01,-6.58
2010-03-01,-6.76
2010-04-01,-4.18
2010-05-01,-1.69
2010-06-01,-2.76
2010-07-01,-0.65
2010-08-01,-8.16
2010-09-01,-4.82
2010-10-01,-4.16
2010-11-01,1.31
2010-12-01,-1.5
2011-01-01,-3.61
2011-02-01,-3.58
2011-03-01,-14.95
2011-04-01,-14.49
2011-05-01,-12.97
2011-06-01,-6.98
2011-07-01,0.44
2011-08-01,1.22
2011-09-01,-3.19
2011-10-01,3.78
2011-11-01,-1.73
2011-12-01,-1.63
2012-01-01,-0.33
2012-02-01,0.67
2012-03-01,21.97
2012-04-01,14.52
2012-05-01,15.15
2012-06-01,5.74
2012-07-01,-0.65
2012-08-01,0
2012-09-01,5.12
2012-10-01,-2.25
2012-11-01,-1.32
2012-12-01,-4.09
2013-01-01,1.11
2013-02-01,3.68
2013-03-01,7.64
2013-04-01,-0.78
2013-05-01,0.21
2013-06-01,3.22
2013-07-01,-1.97
2013-08-01,-2.2
2013-09-01,-3.79
2013-10-01,-6.36
2013-11-01,3.67
2013-12-01,3.69
2014-01-01,4.27
2014-02-01,-29.82
2014-03-01,-8.11
2014-04-01,4.15
2014-05-01,-0.43
2014-06-01,-4.3
2014-07-01,-0.45
2014-08-01,0.9
2014-09-01,5.74
2014-10-01,5.15
2014-11-01,-2.58
2014-12-01,-2.11
2015-01-01,-11.65
2015-02-01,44.79
2015-03-01,4.64
2015-04-01,-2.05
2015-05-01,-3.75
2015-06-01,1.23
2015-07-01,1.01
2015-08-01,0.89
