Date,はん用機械器具製造業
2008-03-01,NA
2008-06-01,NA
2008-09-01,NA
2008-12-01,NA
2009-03-01,NA
2009-06-01,36551
2009-09-01,51957
2009-12-01,66932
2010-03-01,51007
2010-06-01,26299
2010-09-01,28791
2010-12-01,26159
2011-03-01,35502
2011-06-01,35866
2011-09-01,46557
2011-12-01,47902
2012-03-01,41086
2012-06-01,36932
2012-09-01,39401
2012-12-01,37036
2013-03-01,39448
2013-06-01,36183
2013-09-01,42615
2013-12-01,50491
2014-03-01,56549
2014-06-01,36318
2014-09-01,48273
2014-12-01,52057
2015-03-01,80360
2015-06-01,62409
