Date,本税-利子所得等(百万円)
1984-01-01,1790209
1985-01-01,1884205
1986-01-01,2040882
1987-01-01,1869092
1988-01-01,1965266
1989-01-01,2475613
1990-01-01,4891551
1991-01-01,5405690
1992-01-01,3800262
1993-01-01,3477665
1994-01-01,3853260
1995-01-01,3078229
1996-01-01,1773507
1997-01-01,1322436
1998-01-01,1094877
1999-01-01,924959
2000-01-01,3161555
2001-01-01,3986258
2002-01-01,1258008
2003-01-01,837337
2004-01-01,761205
2005-01-01,615073
2006-01-01,483788
2007-01-01,632489
2008-01-01,819520
2009-01-01,661963
2010-01-01,548231
2011-01-01,467925
2012-01-01,431845
2013-01-01,439088
