Date,15-24歳.非正規の職員・従業員
2013-02-01,229
2013-03-01,221
2013-04-01,225
2013-05-01,223
2013-06-01,219
2013-07-01,224
2013-08-01,233
2013-09-01,242
2013-10-01,243
2013-11-01,252
2013-12-01,247
2014-01-01,227
2014-02-01,236
2014-03-01,235
2014-04-01,217
2014-05-01,215
2014-06-01,225
2014-07-01,229
2014-08-01,231
2014-09-01,231
2014-10-01,224
2014-11-01,240
2014-12-01,261
2015-01-01,234
2015-02-01,218
2015-03-01,228
2015-04-01,221
2015-05-01,215
2015-06-01,225
2015-07-01,216
