Date,対個人サービス業（調査９業種）総合 パチンコホール
2005-01-01,9.79
2005-02-01,8.94
2005-03-01,5.8
2005-04-01,6
2005-05-01,11.18
2005-06-01,10.63
2005-07-01,10.82
2005-08-01,10.66
2005-09-01,6.25
2005-10-01,7.56
2005-11-01,3.18
2005-12-01,2.68
2006-01-01,3.38
2006-02-01,3.79
2006-03-01,5.17
2006-04-01,5.04
2006-05-01,0.7
2006-06-01,2
2006-07-01,3.16
2006-08-01,-1.36
2006-09-01,-3.66
2006-10-01,-0.88
2006-11-01,0.89
2006-12-01,0.6
2007-01-01,-0.69
2007-02-01,-2.47
2007-03-01,-5.21
2007-04-01,-6.95
2007-05-01,-5.04
2007-06-01,-8.64
2007-07-01,-13.77
2007-08-01,-13.71
2007-09-01,-14.21
2007-10-01,-17.62
2007-11-01,-16.85
2007-12-01,-15.47
2008-01-01,-15.97
2008-02-01,-12.46
2008-03-01,-13.59
2008-04-01,-12.84
2008-05-01,-14.69
2008-06-01,-11.39
2008-07-01,-8.65
2008-08-01,-1.94
2008-09-01,-1.4
2008-10-01,0.12
2008-11-01,-0.12
2008-12-01,0.12
2009-01-01,1.31
2009-02-01,0
2009-03-01,2.88
2009-04-01,2.29
2009-05-01,3.66
2009-06-01,2.3
2009-07-01,2.55
2009-08-01,-4.55
2009-09-01,-5.33
2009-10-01,-2.03
2009-11-01,-2.37
2009-12-01,-3.77
2010-01-01,-5.51
2010-02-01,-9.03
2010-03-01,-7.35
2010-04-01,-6.61
2010-05-01,-8.24
2010-06-01,-9.48
2010-07-01,-6.75
2010-08-01,-3.05
2010-09-01,-2.13
2010-10-01,-4.75
2010-11-01,-7.05
2010-12-01,-4.9
2011-01-01,-5.21
2011-02-01,-1.4
2011-03-01,-18.14
2011-04-01,-9.86
2011-05-01,-4.36
2011-06-01,-2.49
2011-07-01,-4.31
2011-08-01,-3.02
2011-09-01,-0.26
2011-10-01,1.79
2011-11-01,5.1
2011-12-01,3.74
2012-01-01,4.71
2012-02-01,3.48
2012-03-01,20.92
2012-04-01,9.54
2012-05-01,5.91
2012-06-01,6.71
2012-07-01,5.31
2012-08-01,1.82
2012-09-01,2.18
2012-10-01,-0.88
2012-11-01,-1.24
2012-12-01,-0.75
2013-01-01,-0.88
2013-02-01,-2.74
2013-03-01,1.53
2013-04-01,0.77
2013-05-01,-2.28
2013-06-01,-0.5
2013-07-01,3.78
2013-08-01,6.12
2013-09-01,-1.63
2013-10-01,-2.28
2013-11-01,-1.51
2013-12-01,0.38
2014-01-01,1.13
2014-02-01,-1.92
2014-03-01,-0.63
2014-04-01,-1.91
2014-05-01,-0.78
2014-06-01,-5.56
2014-07-01,-9.59
2014-08-01,-7.57
2014-09-01,-5.73
2014-10-01,-5.58
2014-11-01,-5.63
2014-12-01,-11.1
2015-01-01,-9.98
2015-02-01,-3.92
2015-03-01,-9.96
2015-04-01,-4.4
2015-05-01,-5.49
2015-06-01,-4.55
2015-07-01,-2.01
2015-08-01,-9.36
