Date,前年同月比（％） 被保護実人員
2013-07-01,1.6
2013-08-01,1.4
2013-09-01,1.2
2013-10-01,1
2013-11-01,0.8
2013-12-01,0.7
2014-01-01,0.7
2014-02-01,0.5
2014-03-01,0.5
2014-04-01,0.4
2014-05-01,0.3
2014-06-01,0.3
2014-07-01,0.2
2014-08-01,0.2
2014-09-01,0.2
2014-10-01,0.2
2014-11-01,0.1
2014-12-01,0.1
2015-01-01,0.1
2015-02-01,0.1
2015-03-01,0.2
2015-04-01,0.2
2015-05-01,0.1
2015-06-01,0.2
2015-07-01,0.1
