Date,パルプ・紙・紙加工品製造業
2008-03-01,120836
2008-06-01,132107
2008-09-01,125845
2008-12-01,100813
2009-03-01,89004
2009-06-01,84308
2009-09-01,59616
2009-12-01,60613
2010-03-01,59945
2010-06-01,63121
2010-09-01,72232
2010-12-01,59412
2011-03-01,67879
2011-06-01,60523
2011-09-01,67360
2011-12-01,55276
2012-03-01,63468
2012-06-01,53437
2012-09-01,54868
2012-12-01,47573
2013-03-01,63481
2013-06-01,67618
2013-09-01,74139
2013-12-01,61647
2014-03-01,94699
2014-06-01,70361
2014-09-01,72513
2014-12-01,78686
2015-03-01,82172
2015-06-01,77336
