week,対内.合計.ネット
2015年2月第1週,2528
2015年2月第2週,14438
2015年2月第3週,-9719
2015年2月第4週,16075
2015年3月第1週,9668
2015年3月第2週,17671
2015年3月第3週,-11363
2015年3月第4週,13235
2015年3月第5週,12369
2015年4月第2週,4452
2015年4月第3週,17304
2015年4月第4週,15369
2015年4月第5週,-16383
2015年5月第2週,12523
2015年5月第3週,-8626
2015年5月第4週,-1345
2015年5月第5週,29250
2015年5月第6週,-13862
2015年6月第2週,881
2015年6月第3週,5731
2015年6月第4週,-13393
2015年6月第5週,-5404
2015年7月第2週,-11320
2015年7月第3週,15412
2015年7月第4週,2379
2015年7月第5週,1675
2015年8月第2週,28835
2015年8月第3週,-7640
2015年8月第4週,-2812
2015年8月第5週,12370
