Date,シャツ・セーター類
2013-02-01,93.8
2013-03-01,93.8
2013-04-01,105.1
2013-05-01,104.7
2013-06-01,104
2013-07-01,98.9
2013-08-01,93.6
2013-09-01,107.3
2013-10-01,106.8
2013-11-01,106.3
2013-12-01,105
2014-01-01,97.8
2014-02-01,96
2014-03-01,95.1
2014-04-01,106.7
2014-05-01,106.7
2014-06-01,105.7
2014-07-01,100.3
2014-08-01,95.5
2014-09-01,109.1
2014-10-01,109
2014-11-01,108.6
2014-12-01,107.3
2015-01-01,101.5
2015-02-01,98.3
2015-03-01,98.4
2015-04-01,109.2
2015-05-01,108.9
2015-06-01,108
2015-07-01,101.8
