Date,Weekly U.S. Percent Utilization of Refinery Operable Capacity (Percent)
1990-11-02,84
1990-11-09,83
1990-11-16,84
1990-11-23,84
1990-11-30,89
1990-12-07,82
1990-12-14,83
1990-12-21,84
1990-12-28,84
1991-01-04,80
1991-01-11,80
1991-01-18,82
1991-01-25,83
1991-02-01,83
1991-02-08,84
1991-02-15,84
1991-02-22,85
1991-03-01,85
1991-03-08,84
1991-03-15,83
1991-03-22,82
1991-03-29,81
1991-04-05,83
1991-04-12,83
1991-04-19,84
1991-04-26,85
1991-05-03,86.6
1991-05-10,87
1991-05-17,86
1991-05-24,87
1991-05-31,90
1991-06-07,88
1991-06-14,90
1991-06-21,90
1991-06-28,89
1991-07-05,88
1991-07-12,86
1991-07-19,89
1991-07-26,89
1991-08-02,88
1991-08-09,88
1991-08-16,88
1991-08-23,89
1991-08-30,90
1991-09-06,91
1991-09-13,89
1991-09-20,89
1991-09-27,87
1991-10-04,87
1991-10-11,86
1991-10-18,83
1991-10-25,82
1991-11-01,82
1991-11-08,81
1991-11-15,82
1991-11-22,86
1991-11-29,84
1991-12-06,83
1991-12-13,86
1991-12-20,87
1991-12-27,87
1992-01-03,85
1992-01-10,86
1992-01-17,84
1992-01-24,81
1992-01-31,80
1992-02-07,82
1992-02-14,80
1992-02-21,80
1992-02-28,79
1992-03-06,79
1992-03-13,82
1992-03-20,84
1992-03-27,85
1992-04-03,87
1992-04-10,86
1992-04-17,86
1992-04-24,85
1992-05-01,85
1992-05-08,84
1992-05-15,87
1992-05-22,87
1992-05-29,89
1992-06-05,89
1992-06-12,89
1992-06-19,90
1992-06-26,92
1992-07-03,91
1992-07-10,91
1992-07-17,91
1992-07-24,90
1992-07-31,89
1992-08-07,90
1992-08-14,89
1992-08-21,89
1992-08-28,86
1992-09-04,85
1992-09-11,90
1992-09-18,89
1992-09-25,89
1992-10-02,90
1992-10-09,88
1992-10-16,88
1992-10-23,90
1992-10-30,90
1992-11-06,90
1992-11-13,90
1992-11-20,89
1992-11-27,90
1992-12-04,90
1992-12-11,87
1992-12-18,88
1992-12-25,87
1993-01-01,88
1993-01-08,87
1993-01-15,86
1993-01-22,87
1993-01-29,87
1993-02-05,85
1993-02-12,87
1993-02-19,87
1993-02-26,85
1993-03-05,85
1993-03-12,86
1993-03-19,88
1993-03-26,87
1993-04-02,90
1993-04-09,87
1993-04-16,90
1993-04-23,92
1993-04-30,93
1993-05-07,92
1993-05-14,91
1993-05-21,92
1993-05-28,94
1993-06-04,94
1993-06-11,94
1993-06-18,95
1993-06-25,95
1993-07-02,96
1993-07-09,96
1993-07-16,95.5
1993-07-23,95.5
1993-07-30,94.5
1993-08-06,95.1
1993-08-13,94.1
1993-08-20,93.6
1993-08-27,93.6
1993-09-03,92.3
1993-09-10,92.3
1993-09-17,92.6
1993-09-24,92.7
1993-10-01,92.8
1993-10-08,92.5
1993-10-15,92.2
1993-10-22,91.1
1993-10-29,91.7
1993-11-05,91.8
1993-11-12,91.7
1993-11-19,91.9
1993-11-26,91.4
1993-12-03,92.6
1993-12-10,92.1
1993-12-17,91.6
1993-12-24,90
1993-12-31,92.7
1994-01-07,89.9
1994-01-14,90.9
1994-01-21,89.7
1994-01-28,87.3
1994-02-04,88.2
1994-02-11,89.5
1994-02-18,89.6
1994-02-25,87.3
1994-03-04,85.7
1994-03-11,87.5
1994-03-18,87
1994-03-25,86
1994-04-01,87.5
1994-04-08,88.7
1994-04-15,92.2
1994-04-22,95.6
1994-04-29,95.8
1994-05-06,96.6
1994-05-13,97.3
1994-05-20,94.8
1994-05-27,96.3
1994-06-03,95.8
1994-06-10,97.2
1994-06-17,95.7
1994-06-24,97.2
1994-07-01,96.2
1994-07-08,94.8
1994-07-15,96
1994-07-22,95.1
1994-07-29,94.7
1994-08-05,95.7
1994-08-12,96.5
1994-08-19,96.1
