Date,建築物着工統計.金融業，保険業.千平米
2013-02-01,22
2013-03-01,37.826
2013-04-01,45.263
2013-05-01,208.051
2013-06-01,72.238
2013-07-01,24.558
2013-08-01,47.183
2013-09-01,56.028
2013-10-01,36.813
2013-11-01,60.459
2013-12-01,59.559
2014-01-01,19.041
2014-02-01,12.051
2014-03-01,12.741
2014-04-01,30.616
2014-05-01,41.845
2014-06-01,42.293
2014-07-01,33.388
2014-08-01,50.315
2014-09-01,22.041
2014-10-01,28.293
2014-11-01,67.5
2014-12-01,14.145
2015-01-01,20.845
2015-02-01,28.359
2015-03-01,34.5
2015-04-01,36.993
2015-05-01,57.713
2015-06-01,50.418
2015-07-01,76.92
