Date,対個人サービス業（調査９業種）総合 ボウリング場
2004-01-01,105.9
2004-02-01,107.9
2004-03-01,104.6
2004-04-01,104.1
2004-05-01,106.2
2004-06-01,109.7
2004-07-01,105.1
2004-08-01,104.7
2004-09-01,105.5
2004-10-01,104.1
2004-11-01,105.3
2004-12-01,105
2005-01-01,102.7
2005-02-01,102
2005-03-01,102.6
2005-04-01,101.6
2005-05-01,100.6
2005-06-01,100.6
2005-07-01,99.7
2005-08-01,99.5
2005-09-01,96.1
2005-10-01,98.8
2005-11-01,96.6
2005-12-01,96.2
2006-01-01,96.9
2006-02-01,97.3
2006-03-01,96.4
2006-04-01,96.3
2006-05-01,95.5
2006-06-01,94.5
2006-07-01,94.6
2006-08-01,93
2006-09-01,91.5
2006-10-01,91.8
2006-11-01,91.3
2006-12-01,91.3
2007-01-01,92.1
2007-02-01,92.1
2007-03-01,91.2
2007-04-01,92
2007-05-01,92
2007-06-01,90.3
2007-07-01,89.6
2007-08-01,89.6
2007-09-01,90.4
2007-10-01,88.2
2007-11-01,88.7
2007-12-01,86.2
2008-01-01,84.9
2008-02-01,84.3
2008-03-01,84.4
2008-04-01,83.7
2008-05-01,82.2
2008-06-01,82.4
2008-07-01,82.3
2008-08-01,82.2
2008-09-01,81.4
2008-10-01,81.4
2008-11-01,80.9
2008-12-01,81.3
2009-01-01,79.9
2009-02-01,78.1
2009-03-01,77.9
2009-04-01,76.3
2009-05-01,77.1
2009-06-01,77.1
2009-07-01,77
2009-08-01,77.3
2009-09-01,75.8
2009-10-01,75.2
2009-11-01,75.8
2009-12-01,75.3
2010-01-01,73.3
2010-02-01,76.6
2010-03-01,76.2
2010-04-01,74.4
2010-05-01,74.2
2010-06-01,74.5
2010-07-01,73.7
2010-08-01,71.7
2010-09-01,74.1
2010-10-01,73.9
2010-11-01,73.7
2010-12-01,74.5
2011-01-01,66.3
2011-02-01,68.6
2011-03-01,69.6
2011-04-01,71.1
2011-05-01,73.5
2011-06-01,67.2
2011-07-01,67.2
2011-08-01,73.8
2011-09-01,72.2
2011-10-01,69.8
2011-11-01,67.2
2011-12-01,65.2
2012-01-01,67.7
2012-02-01,68.6
2012-03-01,69.1
2012-04-01,69.9
2012-05-01,70
2012-06-01,68.6
2012-07-01,68.2
2012-08-01,68.8
2012-09-01,68.9
2012-10-01,67.9
2012-11-01,67.1
2012-12-01,66.3
2013-01-01,64.2
2013-02-01,61.5
2013-03-01,62.3
2013-04-01,62.6
2013-05-01,61.9
2013-06-01,61.9
2013-07-01,61
2013-08-01,62.2
2013-09-01,62.2
2013-10-01,61.9
2013-11-01,62.2
2013-12-01,61.2
2014-01-01,61.5
2014-02-01,60.2
2014-03-01,68.2
2014-04-01,58.2
2014-05-01,54.7
2014-06-01,57
2014-07-01,55.9
2014-08-01,61.6
2014-09-01,52.4
2014-10-01,54.5
2014-11-01,57.8
2014-12-01,59.4
2015-01-01,52.4
2015-02-01,55.6
2015-03-01,66.7
2015-04-01,51.4
2015-05-01,52.6
2015-06-01,50.3
2015-07-01,53.7
2015-08-01,54.7
