Date,生鮮果物
2013-02-01,106
2013-03-01,104.1
2013-04-01,100.6
2013-05-01,104.4
2013-06-01,103.4
2013-07-01,98.1
2013-08-01,101.5
2013-09-01,94.5
2013-10-01,92.4
2013-11-01,96.7
2013-12-01,104.8
2014-01-01,114.2
2014-02-01,113.1
2014-03-01,110.6
2014-04-01,109.5
2014-05-01,115.1
2014-06-01,110.3
2014-07-01,102.3
2014-08-01,104.2
2014-09-01,98.9
2014-10-01,92.4
2014-11-01,95.1
2014-12-01,103.8
2015-01-01,119.7
2015-02-01,121.2
2015-03-01,121.5
2015-04-01,118.9
2015-05-01,127.6
2015-06-01,115.4
2015-07-01,108.2
