Date,Weekly U.S. Ending Stocks of Total Gasoline  (Thousand Barrels)
2015-02-06,242647
2015-02-13,243132
2015-02-20,240014
2015-02-27,240060
2015-03-06,239873
2015-03-13,235400
2015-03-20,233386
2015-03-27,229128
2015-04-03,229945
2015-04-10,227873
2015-04-17,225738
2015-04-24,227451
2015-05-01,227852
2015-05-08,226710
2015-05-15,223936
2015-05-22,220627
2015-05-29,220293
2015-06-05,217354
2015-06-12,217814
2015-06-19,218494
2015-06-26,216737
2015-07-03,217952
2015-07-10,218010
2015-07-17,216285
2015-07-24,215922
2015-07-31,216733
2015-08-07,215482
2015-08-14,212774
2015-08-21,214434
2015-08-28,214163
