Bin,Frequency,Ratio
-290,1,0.83
-280,0,0
-270,0,0
-260,0,0
-250,0,0
-240,0,0
-230,1,0.83
-220,2,1.67
-210,1,0.83
-200,0,0
-190,0,0
-180,0,0
-170,0,0
-160,0,0
-150,0,0
-140,1,0.83
-130,3,2.5
-120,1,0.83
-110,3,2.5
-100,0,0
-90,8,6.67
-80,6,5
-70,6,5
-60,8,6.67
-50,4,3.33
-40,6,5
-30,3,2.5
-20,2,1.67
-10,0,0
0,0,0
10,1,0.83
20,4,3.33
30,6,5
40,7,5.83
50,7,5.83
60,12,10
70,6,5
80,3,2.5
90,6,5
100,2,1.67
110,3,2.5
120,1,0.83
130,2,1.67
140,1,0.83
150,2,1.67
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
210,0,0
220,0,0
230,0,0
240,0,0
250,0,0
260,0,0
270,1,0.83
280,0,0
